species,method,prediction_eff_z,p_hat,lcl,ucl,n_sites_available,n_sites_detected,n_rep,AIC,any_se_bad
Asaphidion stierlini,Pitfall6,-0.2021175967624249,0.4189851371677666,0.16621023309780278,0.722890707498918,64,13,6,NA,FALSE
Asaphidion stierlini,Pitfall4,-0.6401886118643706,0.4031710055378636,0.15768827299700355,0.7090945107891024,64,13,6,NA,FALSE
Asaphidion stierlini,Pitfall2,-1.365577193140986,0.2573752852923872,0.08308555987584905,0.5699953420007793,64,13,6,NA,FALSE
Asaphidion stierlini,GPD,1.5626334705307883,0.5480579735176158,0.28376102104517725,0.7877700362569723,64,13,6,NA,FALSE
Badister bullatus,Pitfall10,0.35861746750745094,0.6000726320405524,0.2054745401405844,0.8969659511821934,64,11,6,NA,FALSE
Badister bullatus,Pitfall8,0.11270612236011016,0.508633005653243,0.17707286934716798,0.832768585463525,64,11,6,NA,FALSE
Badister bullatus,Pitfall6,-0.2021175967624249,0.26975919392318776,0.07005220764318008,0.6443278569067236,64,11,6,NA,FALSE
Badister bullatus,Pitfall4,-0.6401886118643706,0.24640930051443755,0.06457328415832583,0.607661078518281,64,11,6,NA,FALSE
Badister bullatus,Pitfall2,-1.365577193140986,0.19886447236148458,0.05129417520492219,0.5326306564704272,64,11,6,NA,FALSE
Badister bullatus,GPD,1.5626334705307883,0.46366751421462854,0.16663343600906122,0.7889327198315178,64,11,6,NA,FALSE
Bembidion lampros,Pitfall10,0.35861746750745094,0.9333545452129538,0.648048424505674,0.9906993308942854,64,24,6,NA,FALSE
Bembidion lampros,Pitfall8,0.11270612236011016,0.8824390904804785,0.6318126894735618,0.9704439506667535,64,24,6,NA,FALSE
Bembidion lampros,Pitfall6,-0.2021175967624249,0.7782897791486457,0.5359172662387379,0.9143182186356246,64,24,6,NA,FALSE
Bembidion lampros,Pitfall4,-0.6401886118643706,0.5985779316456347,0.3660317951858326,0.793862234954043,64,24,6,NA,FALSE
Bembidion lampros,Pitfall2,-1.365577193140986,0.40197018641959664,0.22029023668020842,0.615253676244515,64,24,6,NA,FALSE
Bembidion lampros,GPD,1.5626334705307883,0.612095788449086,0.39744958130652847,0.7905698873179826,64,24,6,NA,FALSE
Bembidion lunulatum,Pitfall10,0.35861746750745094,0.9999975299046655,2.198888461552406e-158,1,64,12,6,NA,FALSE
Bembidion lunulatum,Pitfall8,0.11270612236011016,0.9999999747657289,0,1,64,12,6,NA,FALSE
Bembidion lunulatum,Pitfall6,-0.2021175967624249,0.9077175249004478,0.5504378373364592,0.9875033350244485,64,12,6,NA,FALSE
Bembidion lunulatum,Pitfall4,-0.6401886118643706,0.6097977719935945,0.30171092084342777,0.8496793435020575,64,12,6,NA,FALSE
Bembidion lunulatum,Pitfall2,-1.365577193140986,0.2600539510743159,0.08424811005489367,0.5731226489520832,64,12,6,NA,FALSE
Bembidion lunulatum,GPD,1.5626334705307883,0.45325091767691794,0.1975872025319166,0.7362086174659743,64,12,6,NA,FALSE
Bembidion obtusum,Pitfall10,0.35861746750745094,0.8923818235337077,0.5043564704638163,0.9854166308381083,64,10,6,NA,FALSE
Bembidion obtusum,Pitfall8,0.11270612236011016,0.7838728992052726,0.42365896712103523,0.9470764398636254,64,10,6,NA,FALSE
Bembidion obtusum,Pitfall6,-0.2021175967624249,0.6739283378095469,0.3348761064406499,0.8945633950202172,64,10,6,NA,FALSE
Bembidion obtusum,Pitfall4,-0.6401886118643706,0.33062347508832723,0.10825615305606236,0.6677321412694771,64,10,6,NA,FALSE
Bembidion obtusum,Pitfall2,-1.365577193140986,0.10089916449944095,0.01369774615657873,0.47556559329410897,64,10,6,NA,FALSE
Bembidion obtusum,GPD,1.5626334705307883,0.39704768071056074,0.15629499179912315,0.7006708086969211,64,10,6,NA,FALSE
Bembidion properans,Pitfall10,0.35861746750745094,0.9999770943144223,2.802280185439853e-39,1,64,26,6,NA,FALSE
Bembidion properans,Pitfall8,0.11270612236011016,0.8931552020962539,0.6567245244546881,0.9733520798588089,64,26,6,NA,FALSE
Bembidion properans,Pitfall6,-0.2021175967624249,0.8386418771031678,0.599819955535459,0.9474296314240173,64,26,6,NA,FALSE
Bembidion properans,Pitfall4,-0.6401886118643706,0.6687698413963101,0.4302286101832695,0.843720007312974,64,26,6,NA,FALSE
Bembidion properans,Pitfall2,-1.365577193140986,0.5766133606759263,0.3613498853782801,0.7662546642224591,64,26,6,NA,FALSE
Bembidion properans,GPD,1.5626334705307883,0.7435751985392247,0.5279814046096738,0.8825938897703954,64,26,6,NA,FALSE
Bembidion quadrimaculatum,Pitfall10,0.35861746750745094,0.8583169111910178,0.4214005964998424,0.9805408638946927,64,13,6,NA,FALSE
Bembidion quadrimaculatum,Pitfall8,0.11270612236011016,0.8579280019639215,0.4205981018799113,0.9804816916899426,64,13,6,NA,FALSE
Bembidion quadrimaculatum,Pitfall6,-0.2021175967624249,0.624953395576722,0.2846437035032482,0.8746589993010675,64,13,6,NA,FALSE
Bembidion quadrimaculatum,Pitfall4,-0.6401886118643706,0.6148180607717336,0.27592856550389605,0.8698880434921451,64,13,6,NA,FALSE
Bembidion quadrimaculatum,Pitfall2,-1.365577193140986,0.37964518950892295,0.14730704042342166,0.6843361669210476,64,13,6,NA,FALSE
Bembidion quadrimaculatum,GPD,1.5626334705307883,0.7087769046172799,0.39826431765413745,0.899493078696181,64,13,6,NA,FALSE
Brachinus crepitans,Pitfall10,0.35861746750745094,0.7266827101354812,0.3364127673534604,0.9330825946527782,64,7,6,NA,FALSE
Brachinus crepitans,Pitfall8,0.11270612236011016,0.587972610211784,0.23732316671826104,0.8674493958059927,64,7,6,NA,FALSE
Brachinus crepitans,Pitfall6,-0.2021175967624249,0.5869755936833144,0.23648211836670968,0.8670377263584352,64,7,6,NA,FALSE
Brachinus crepitans,Pitfall4,-0.6401886118643706,0.2904046291713136,0.07244242526500508,0.6819880961860494,64,7,6,NA,FALSE
Brachinus crepitans,Pitfall2,-1.365577193140986,0.13816973578219366,0.018658902525989965,0.5747959256124403,64,7,6,NA,FALSE
Brachinus crepitans,GPD,1.5626334705307883,0.6466022310926801,0.2528121689143381,0.9082076383569088,64,7,6,NA,FALSE
Brachinus sclopeta,Pitfall10,0.35861746750745094,0.907204021221999,0.5198065648495075,0.9888009088542061,64,9,6,NA,FALSE
Brachinus sclopeta,Pitfall8,0.11270612236011016,0.799797236820478,0.4233534526099353,0.9560214039267784,64,9,6,NA,FALSE
Brachinus sclopeta,Pitfall6,-0.2021175967624249,0.6805155718546986,0.32102820160059264,0.9056237908862047,64,9,6,NA,FALSE
Brachinus sclopeta,Pitfall4,-0.6401886118643706,0.6053360347593584,0.28032176542687787,0.85794969509778,64,9,6,NA,FALSE
Brachinus sclopeta,Pitfall2,-1.365577193140986,0.3617194821771776,0.1202639830616259,0.7014296356059566,64,9,6,NA,FALSE
Brachinus sclopeta,GPD,1.5626334705307883,0.8148377422289546,0.4028872275654021,0.966332086651657,64,9,6,NA,FALSE
Calathus fuscipes,Pitfall10,0.35861746750745094,0.9999756680270522,8.484082335086587e-62,1,64,8,6,NA,FALSE
Calathus fuscipes,Pitfall8,0.11270612236011016,0.9999989112628055,5.4632876153017164e-306,1,64,8,6,NA,FALSE
Calathus fuscipes,Pitfall6,-0.2021175967624249,0.9999986960026461,1.8551407569230372e-280,1,64,8,6,NA,FALSE
Calathus fuscipes,Pitfall4,-0.6401886118643706,0.6542615691254516,0.2175104314225102,0.9279677611883903,64,8,6,NA,FALSE
Calathus fuscipes,Pitfall2,-1.365577193140986,0.1721221770636733,0.022858818271656107,0.6488463638362799,64,8,6,NA,FALSE
Calathus fuscipes,GPD,1.5626334705307883,0.8134256045494396,0.31291008665189407,0.9766013017248032,64,8,6,NA,FALSE
Carabus auratus,Pitfall10,0.35861746750745094,0.9999641477014615,5.991874557376137e-46,1,64,9,6,NA,FALSE
Carabus auratus,Pitfall8,0.11270612236011016,0.9999994036687975,0,1,64,9,6,NA,FALSE
Carabus auratus,Pitfall6,-0.2021175967624249,0.8773757635656227,0.4675797966013499,0.9831346415775856,64,9,6,NA,FALSE
Carabus auratus,Pitfall4,-0.6401886118643706,0.7503275949394009,0.37703515009606137,0.9371959090856908,64,9,6,NA,FALSE
Carabus auratus,Pitfall2,-1.365577193140986,0.3668885029189415,0.12157569473113934,0.708149917567126,64,9,6,NA,FALSE
Carabus auratus,GPD,1.5626334705307883,0.8333483441009806,0.4189126073152277,0.9719776615185591,64,9,6,NA,FALSE
Carabus nemoralis,Pitfall10,0.35861746750745094,0.8626674084159812,0.4263916303511703,0.9815095211421481,64,15,6,NA,FALSE
Carabus nemoralis,Pitfall8,0.11270612236011016,0.7845458882217858,0.4267353416882793,0.9468437155463562,64,15,6,NA,FALSE
Carabus nemoralis,Pitfall6,-0.2021175967624249,0.7843319846330782,0.4264961770632133,0.9467655345355962,64,15,6,NA,FALSE
Carabus nemoralis,Pitfall4,-0.6401886118643706,0.6342856633580478,0.3342749276623265,0.8569526273053073,64,15,6,NA,FALSE
Carabus nemoralis,Pitfall2,-1.365577193140986,0.7047723429386972,0.4240987890370659,0.8855657036512081,64,15,6,NA,FALSE
Carabus nemoralis,GPD,1.5626334705307883,0.7037061366096079,0.3921472491412936,0.8973677434177377,64,15,6,NA,FALSE
Harpalus affinis,Pitfall10,0.35861746750745094,0.999974503068353,1.906970809732721e-38,1,64,26,6,NA,FALSE
Harpalus affinis,Pitfall8,0.11270612236011016,0.9365570066057558,0.6588709719184821,0.991214865777963,64,26,6,NA,FALSE
Harpalus affinis,Pitfall6,-0.2021175967624249,0.9364954920156526,0.6586702648995345,0.991204612510148,64,26,6,NA,FALSE
Harpalus affinis,Pitfall4,-0.6401886118643706,0.8839721860436349,0.6343733281999888,0.9709756563897676,64,26,6,NA,FALSE
Harpalus affinis,Pitfall2,-1.365577193140986,0.566444937249057,0.3451537276363382,0.764071530092019,64,26,6,NA,FALSE
Harpalus affinis,GPD,1.5626334705307883,0.8233183390965344,0.6166911876552774,0.9310196854637525,64,26,6,NA,FALSE
Harpalus dimidiatus,Pitfall10,0.35861746750745094,0.8338430376032732,0.5886342579311818,0.9462367284380901,64,23,6,NA,FALSE
Harpalus dimidiatus,Pitfall8,0.11270612236011016,0.7882889940398191,0.5489078045812051,0.9193113140244963,64,23,6,NA,FALSE
Harpalus dimidiatus,Pitfall6,-0.2021175967624249,0.7338534658793456,0.49395018864790796,0.8862226848125934,64,23,6,NA,FALSE
Harpalus dimidiatus,Pitfall4,-0.6401886118643706,0.7113647574410294,0.48488360166747385,0.8658237525810948,64,23,6,NA,FALSE
Harpalus dimidiatus,Pitfall2,-1.365577193140986,0.44538987840998356,0.24930357671050823,0.6600908936945437,64,23,6,NA,FALSE
Harpalus dimidiatus,GPD,1.5626334705307883,0.7980217273774578,0.5617809245906009,0.9241108553654341,64,23,6,NA,FALSE
Harpalus distinguendus,Pitfall10,0.35861746750745094,0.7589832265270383,0.5024114613095885,0.9075919153672822,64,22,6,NA,FALSE
Harpalus distinguendus,Pitfall8,0.11270612236011016,0.7586322829541775,0.5019192063134074,0.9074352967474104,64,22,6,NA,FALSE
Harpalus distinguendus,Pitfall6,-0.2021175967624249,0.6351087429085965,0.3861446200292523,0.8280601512765209,64,22,6,NA,FALSE
Harpalus distinguendus,Pitfall4,-0.6401886118643706,0.6539966490455991,0.41020504128042545,0.8370479470156382,64,22,6,NA,FALSE
Harpalus distinguendus,Pitfall2,-1.365577193140986,0.448178040283777,0.25183020280203433,0.6621309846240803,64,22,6,NA,FALSE
Harpalus distinguendus,GPD,1.5626334705307883,0.8132846268532403,0.5667224412339938,0.9355050961216932,64,22,6,NA,FALSE
Harpalus rubripes,Pitfall10,0.35861746750745094,0.9997055628932567,2.7958895013835827e-18,1,64,12,6,NA,FALSE
Harpalus rubripes,Pitfall8,0.11270612236011016,0.705071666020387,0.3160869097600121,0.9251830926683765,64,12,6,NA,FALSE
Harpalus rubripes,Pitfall6,-0.2021175967624249,0.5599015545937912,0.2209290935407988,0.850913692428545,64,12,6,NA,FALSE
Harpalus rubripes,Pitfall4,-0.6401886118643706,0.5449144655493281,0.2107112540776615,0.8430276900898268,64,12,6,NA,FALSE
Harpalus rubripes,Pitfall2,-1.365577193140986,0.44289482865131385,0.1628800416274766,0.7646078031651777,64,12,6,NA,FALSE
Harpalus rubripes,GPD,1.5626334705307883,0.8217155595098089,0.4382175688990699,0.9645803782637221,64,12,6,NA,FALSE
Harpalus tardus,Pitfall10,0.35861746750745094,0.46944012412677183,0.057462915099677,0.927751433734797,64,9,6,NA,FALSE
Harpalus tardus,Pitfall8,0.11270612236011016,0.34853950548445173,0.05606937316614349,0.8281443500714211,64,9,6,NA,FALSE
Harpalus tardus,Pitfall6,-0.2021175967624249,0.3503048319382267,0.05676824890014217,0.8284860972140912,64,9,6,NA,FALSE
Harpalus tardus,Pitfall4,-0.6401886118643706,0.2844403074400774,0.05241472112896281,0.7407069603736992,64,9,6,NA,FALSE
Harpalus tardus,Pitfall2,-1.365577193140986,0.05474328573804332,0.003581645031660788,0.4826922589379925,64,9,6,NA,FALSE
Harpalus tardus,GPD,1.5626334705307883,0.9999998017174418,0.009577639011345248,0.9999999999999996,64,9,6,NA,FALSE
Loricera pilicornis,Pitfall10,0.35861746750745094,0.8597284573221092,0.5725097042065584,0.9655761329035856,64,17,6,NA,FALSE
Loricera pilicornis,Pitfall8,0.11270612236011016,0.8596143293021112,0.572319536836548,0.9655390479600029,64,17,6,NA,FALSE
Loricera pilicornis,Pitfall6,-0.2021175967624249,0.8594204615053205,0.5719958359409945,0.9654761461935785,64,17,6,NA,FALSE
Loricera pilicornis,Pitfall4,-0.6401886118643706,0.7835895090094953,0.49563977897884637,0.9302708851523652,64,17,6,NA,FALSE
Loricera pilicornis,Pitfall2,-1.365577193140986,0.5912636233286129,0.34192601006300716,0.8010876641722225,64,17,6,NA,FALSE
Loricera pilicornis,GPD,1.5626334705307883,0.8063377764566391,0.519521519757181,0.9412904098060285,64,17,6,NA,FALSE
Microlestes,Pitfall10,0.35861746750745094,0.582280271474306,0.23265245244743277,0.8650258949724158,64,9,6,NA,FALSE
Microlestes,Pitfall8,0.11270612236011016,0.5763433685825179,0.22745163965221002,0.8627496106370685,64,9,6,NA,FALSE
Microlestes,Pitfall6,-0.2021175967624249,0.2917433775313203,0.07217064586989524,0.6856694668411513,64,9,6,NA,FALSE
Microlestes,Pitfall4,-0.6401886118643706,0.09794611877214747,0.012498406243406307,0.4822733092410878,64,9,6,NA,FALSE
Microlestes,Pitfall2,-1.365577193140986,0.08603289740699487,0.01061594413920167,0.4522945277901316,64,9,6,NA,FALSE
Microlestes,GPD,1.5626334705307883,0.6557396268890106,0.283379247306842,0.9017207289060204,64,9,6,NA,FALSE
Nebria brevicollis,Pitfall10,0.35861746750745094,0.9414761829786539,0.6659280804389477,0.9923563355389572,64,21,6,NA,FALSE
Nebria brevicollis,Pitfall8,0.11270612236011016,0.8917457124478098,0.640040721274596,0.9744654143280186,64,21,6,NA,FALSE
Nebria brevicollis,Pitfall6,-0.2021175967624249,0.8959643202713832,0.6530044866075232,0.9752546543249128,64,21,6,NA,FALSE
Nebria brevicollis,Pitfall4,-0.6401886118643706,0.7264024736132567,0.47536346574929883,0.8861009325365897,64,21,6,NA,FALSE
Nebria brevicollis,Pitfall2,-1.365577193140986,0.360728118747724,0.17904188984024375,0.5934972003841416,64,21,6,NA,FALSE
Nebria brevicollis,GPD,1.5626334705307883,0.6543084759703853,0.41107002327769443,0.8369364164947356,64,21,6,NA,FALSE
Nebria salina,Pitfall10,0.35861746750745094,0.7866517893084884,0.50713865675001,0.9296394169903948,64,25,6,NA,FALSE
Nebria salina,Pitfall8,0.11270612236011016,0.7857211486179726,0.5056942784099548,0.929292335672062,64,25,6,NA,FALSE
Nebria salina,Pitfall6,-0.2021175967624249,0.6122995892801366,0.36240726023536307,0.814407689724962,64,25,6,NA,FALSE
Nebria salina,Pitfall4,-0.6401886118643706,0.5448923488474039,0.3069453056861492,0.7639660809621128,64,25,6,NA,FALSE
Nebria salina,Pitfall2,-1.365577193140986,0.33166509019788903,0.1687054306383081,0.5482252675380512,64,25,6,NA,FALSE
Nebria salina,GPD,1.5626334705307883,0.7279963418275548,0.5011541532372048,0.8770023469902615,64,25,6,NA,FALSE
Notiophilus biguttatus,Pitfall10,0.35861746750745094,0.5649023362264908,0.2245753259197887,0.8533804526606941,64,16,6,NA,FALSE
Notiophilus biguttatus,Pitfall8,0.11270612236011016,0.6600860982994493,0.32611962442067577,0.8862649370245418,64,16,6,NA,FALSE
Notiophilus biguttatus,Pitfall6,-0.2021175967624249,0.5968129964384149,0.29371727032831185,0.8404801098380951,64,16,6,NA,FALSE
Notiophilus biguttatus,Pitfall4,-0.6401886118643706,0.2825482224901339,0.09197775832603668,0.6049202721490099,64,16,6,NA,FALSE
Notiophilus biguttatus,Pitfall2,-1.365577193140986,0.2671082409336292,0.09943486378515849,0.5460767993283874,64,16,6,NA,FALSE
Notiophilus biguttatus,GPD,1.5626334705307883,0.5685888651813195,0.3093212878227856,0.7950251393158285,64,16,6,NA,FALSE
Notiophilus quadripunctatus,Pitfall10,0.35861746750745094,0.9998701945026173,3.3114898818579928e-15,1,64,25,6,NA,FALSE
Notiophilus quadripunctatus,Pitfall8,0.11270612236011016,0.999991185849873,3.847904630274875e-64,1,64,25,6,NA,FALSE
Notiophilus quadripunctatus,Pitfall6,-0.2021175967624249,0.8912728670615321,0.6529515003705029,0.972763425416135,64,25,6,NA,FALSE
Notiophilus quadripunctatus,Pitfall4,-0.6401886118643706,0.6815839706570362,0.44836804366470034,0.8493341195402441,64,25,6,NA,FALSE
Notiophilus quadripunctatus,Pitfall2,-1.365577193140986,0.5193407872372809,0.32135160573959887,0.7114364659135626,64,25,6,NA,FALSE
Notiophilus quadripunctatus,GPD,1.5626334705307883,0.7322749806767016,0.5099360459798786,0.8778946038302313,64,25,6,NA,FALSE
Notiophilus substriatus,Pitfall10,0.35861746750745094,0.8540620384698772,0.5662611314120757,0.9632803261915552,64,20,6,NA,FALSE
Notiophilus substriatus,Pitfall8,0.11270612236011016,0.7288747674861711,0.46033072349566767,0.8944338816979384,64,20,6,NA,FALSE
Notiophilus substriatus,Pitfall6,-0.2021175967624249,0.7285376372758718,0.45990951364930893,0.8942718376309327,64,20,6,NA,FALSE
Notiophilus substriatus,Pitfall4,-0.6401886118643706,0.6573203481582476,0.395331048020605,0.8491190766519773,64,20,6,NA,FALSE
Notiophilus substriatus,Pitfall2,-1.365577193140986,0.4752970644456448,0.2609385390687699,0.6991622336609392,64,20,6,NA,FALSE
Notiophilus substriatus,GPD,1.5626334705307883,0.6511045598925782,0.4002367402423187,0.8391982480149672,64,20,6,NA,FALSE
Parophonus maculicornis,Pitfall10,0.35861746750745094,0.8704447361737351,0.45249931869673465,0.9820203402657625,64,13,6,NA,FALSE
Parophonus maculicornis,Pitfall8,0.11270612236011016,0.6923749652830538,0.3672538269622873,0.897201360908797,64,13,6,NA,FALSE
Parophonus maculicornis,Pitfall6,-0.2021175967624249,0.6920675108199249,0.36692193690237423,0.89706683745939,64,13,6,NA,FALSE
Parophonus maculicornis,Pitfall4,-0.6401886118643706,0.47975983373564984,0.20991966851326027,0.7619499340273871,64,13,6,NA,FALSE
Parophonus maculicornis,Pitfall2,-1.365577193140986,0.25024967164236744,0.08086739161896055,0.5587418389964115,64,13,6,NA,FALSE
Parophonus maculicornis,GPD,1.5626334705307883,0.7902104175867327,0.4657028337895942,0.9421217520192422,64,13,6,NA,FALSE
Poecilus versicolor,Pitfall10,0.35861746750745094,0.9999874270601304,1.5623561510660567e-36,1,64,12,6,NA,FALSE
