PAYS;REGION;DEPARTEMENT;CD_DEPT;CD_INSEE;NOM_LOCALITE;ORGANISME;OBSERVATEUR;CD_STATION;STATION;METHODE;REPETITION;Longitude;Latitude;ALTITUDE;DATE;DATE_FIN;HABITAT;MICROHABITAT;METHODE;REMARQUE_STATION;CLASSE;ORDRE;FAMILLE;CD_NOM;LB_NOM;NOM_VALIDE;BOITE;CD_COLLECTION;NOM_CITE;RANK;male;female;Juvénile;?;ABONDANCE_TOTALE;LRN;REMARQUE_INDIVIDU;A VERIFIER/PHOTO;DETERMINATEUR;LEG/COLLECTION;DATE_DETERMINATION;ENVOI_CARDOBS
France;RHONE-ALPES;DROME;26;26017;Aucelon;ECO&SOLS;Equipe ECO&SOLS;2132822;1768;Pitfall;3;44.6346263421969;5.34894544254264;751;23/04/2024;27/05/2024;Chênaie claire;;Pitfall;;Insecta;Hymenoptera;Formicidae;52779;Camponotus aethiops;Camponotus aethiops (Latreille, 1798);E&S_FO_B2_T38;NHEN-29638;camponotus aethiops;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45630;
France;PROVENCE-ALPES-COTE DAZUR;ALPES-DE-HAUTE-PROVENCE;4;4157;Puimoisson;ECO&SOLS;Equipe ECO&SOLS;2132865;1992;Pitfall;4;43.8921670756657;6.10461897406734;712;24/04/2024;28/05/2024;Culture de coriande;;Pitfall;;Insecta;Hymenoptera;Formicidae;52779;Camponotus aethiops;Camponotus aethiops (Latreille, 1798);E&S_FO_B4_T16;NHEN-29833;camponotus aethiops;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45632;
France;PROVENCE-ALPES-COTE DAZUR;VAUCLUSE;84;84065;Lauris;ECO&SOLS;Equipe ECO&SOLS;2132882;2034;Pitfall;5;43.7733624323249;5.30087879165883;292;25/03/2024;22/04/2024;Garrigue;;Pitfall;;Insecta;Hymenoptera;Formicidae;219520;Camponotus cruentatus;Camponotus cruentatus (Latreille, 1802);E&S_FO_B4_T66;NHEN-29884;camponotus cruentatus;S;;;;14;14;#N/A;;;N.HENON;ECO&SOLS;45632;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83053;Evenos;ECO&SOLS;Equipe ECO&SOLS;2132872;2205;Pitfall;6;43.1807256825456;5.85371529787471;274;27/03/2024;22/04/2024;Pinède;;Pitfall;;Insecta;Hymenoptera;Formicidae;219520;Camponotus cruentatus;Camponotus cruentatus (Latreille, 1802);E&S_FO_B3_T1;NHEN-29714;camponotus cruentatus;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45631;
France;LANGUEDOC-ROUSSILLON;AUDE;11;11305;Quintillan;ECO&SOLS;Equipe ECO&SOLS;2132859;2260;Pitfall;1;42.949275970459;2.7153799533844;349;14/05/2024;10/06/2024;Maquis;;Pitfall;;Insecta;Hymenoptera;Formicidae;52781;Camponotus lateralis;Camponotus lateralis (Olivier, 1792);E&S_FO_B1_T44;NHEN-29542;Camponotus lateralis;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45630;
France;PROVENCE-ALPES-COTE DAZUR;VAUCLUSE;84;84065;Lauris;ECO&SOLS;Equipe ECO&SOLS;2132882;2034;Pitfall;1;43.7733624323249;5.30087879165883;292;25/03/2024;22/04/2024;Garrigue;;Pitfall;;Insecta;Hymenoptera;Formicidae;52781;Camponotus lateralis;Camponotus lateralis (Olivier, 1792);E&S_FO_B4_T48;NHEN-29866;Camponotus lateralis;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45632;
France;LANGUEDOC-ROUSSILLON;AUDE;11;11305;Quintillan;ECO&SOLS;Equipe ECO&SOLS;2132859;2260;Pitfall;2;42.949275970459;2.7153799533844;349;14/05/2024;10/06/2024;Maquis;;Pitfall;;Insecta;Hymenoptera;Formicidae;52781;Camponotus lateralis;Camponotus lateralis (Olivier, 1792);E&S_FO_B1_T46;NHEN-29544;Camponotus lateralis;S;;;;6;6;#N/A;;;N.HENON;ECO&SOLS;45630;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83053;Evenos;ECO&SOLS;Equipe ECO&SOLS;2132872;2205;Pitfall;2;43.1807256825456;5.85371529787471;274;27/03/2024;22/04/2024;Pinède;;Pitfall;;Insecta;Hymenoptera;Formicidae;52781;Camponotus lateralis;Camponotus lateralis (Olivier, 1792);E&S_FO_B2_T88;NHEN-29701;Camponotus lateralis;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45631;
France;LANGUEDOC-ROUSSILLON;AUDE;11;11305;Quintillan;ECO&SOLS;Equipe ECO&SOLS;2132859;2260;Pitfall;3;42.949275970459;2.7153799533844;349;14/05/2024;10/06/2024;Maquis;;Pitfall;;Insecta;Hymenoptera;Formicidae;52781;Camponotus lateralis;Camponotus lateralis (Olivier, 1792);E&S_FO_B1_T49;NHEN-29547;Camponotus lateralis;S;;;;2;2;#N/A;;;N.HENON;ECO&SOLS;45630;
France;LANGUEDOC-ROUSSILLON;AUDE;11;11305;Quintillan;ECO&SOLS;Equipe ECO&SOLS;2132859;2260;Pitfall;4;42.949275970459;2.7153799533844;349;14/05/2024;10/06/2024;Maquis;;Pitfall;;Insecta;Hymenoptera;Formicidae;52781;Camponotus lateralis;Camponotus lateralis (Olivier, 1792);E&S_FO_B1_T51;NHEN-29549;Camponotus lateralis;S;;;;2;2;#N/A;;;N.HENON;ECO&SOLS;45630;
France;LANGUEDOC-ROUSSILLON;AUDE;11;11305;Quintillan;ECO&SOLS;Equipe ECO&SOLS;2132859;2260;Pitfall;5;42.949275970459;2.7153799533844;349;14/05/2024;10/06/2024;Maquis;;Pitfall;;Insecta;Hymenoptera;Formicidae;52781;Camponotus lateralis;Camponotus lateralis (Olivier, 1792);E&S_FO_B1_T55;NHEN-29553;Camponotus lateralis;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45630;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83053;Evenos;ECO&SOLS;Equipe ECO&SOLS;2132872;2205;Pitfall;5;43.1807256825456;5.85371529787471;274;27/03/2024;22/04/2024;Pinède;;Pitfall;;Insecta;Hymenoptera;Formicidae;52781;Camponotus lateralis;Camponotus lateralis (Olivier, 1792);E&S_FO_B2_T98;NHEN-29711;Camponotus lateralis;S;;;;7;7;#N/A;;;N.HENON;ECO&SOLS;45631;
France;LANGUEDOC-ROUSSILLON;AUDE;11;11305;Quintillan;ECO&SOLS;Equipe ECO&SOLS;2132859;2260;Pitfall;6;42.949275970459;2.7153799533844;349;14/05/2024;10/06/2024;Maquis;;Pitfall;;Insecta;Hymenoptera;Formicidae;52781;Camponotus lateralis;Camponotus lateralis (Olivier, 1792);E&S_FO_B1_T59;NHEN-29557;Camponotus lateralis;S;;;;4;4;#N/A;;;N.HENON;ECO&SOLS;45630;
France;RHONE-ALPES;DROME;26;26017;Aucelon;ECO&SOLS;Equipe ECO&SOLS;2132822;1768;Pitfall;1;44.6346263421969;5.34894544254264;751;23/04/2024;27/05/2024;Chênaie claire;;Pitfall;;Insecta;Hymenoptera;Formicidae;219519;Camponotus piceus;Camponotus piceus (Leach, 1825);E&S_FO_B2_T25;NHEN-29623;camponotus piceus;S;;;;7;7;#N/A;;;N.HENON;ECO&SOLS;45630;
France;RHONE-ALPES;DROME;26;26017;Aucelon;ECO&SOLS;Equipe ECO&SOLS;2132822;1768;Pitfall;2;44.6346263421969;5.34894544254264;751;23/04/2024;27/05/2024;Chênaie claire;;Pitfall;;Insecta;Hymenoptera;Formicidae;219519;Camponotus piceus;Camponotus piceus (Leach, 1825);E&S_FO_B2_T30;NHEN-29629;camponotus piceus;S;;;;8;8;#N/A;;;N.HENON;ECO&SOLS;45630;
France;RHONE-ALPES;DROME;26;26017;Aucelon;ECO&SOLS;Equipe ECO&SOLS;2132822;1768;Pitfall;3;44.6346263421969;5.34894544254264;751;23/04/2024;27/05/2024;Chênaie claire;;Pitfall;;Insecta;Hymenoptera;Formicidae;219519;Camponotus piceus;Camponotus piceus (Leach, 1825);E&S_FO_B2_T37;NHEN-29637;camponotus piceus;S;;;;11;11;#N/A;;;N.HENON;ECO&SOLS;45630;
France;RHONE-ALPES;DROME;26;26017;Aucelon;ECO&SOLS;Equipe ECO&SOLS;2132822;1768;Pitfall;5;44.6346263421969;5.34894544254264;751;23/04/2024;27/05/2024;Chênaie claire;;Pitfall;;Insecta;Hymenoptera;Formicidae;219519;Camponotus piceus;Camponotus piceus (Leach, 1825);E&S_FO_B4_T32;NHEN-29849;camponotus piceus;S;;;;2;2;#N/A;;;N.HENON;ECO&SOLS;45632;
France;RHONE-ALPES;DROME;26;26017;Aucelon;ECO&SOLS;Equipe ECO&SOLS;2132822;1768;Pitfall;6;44.6346263421969;5.34894544254264;751;23/04/2024;27/05/2024;Chênaie claire;;Pitfall;;Insecta;Hymenoptera;Formicidae;219519;Camponotus piceus;Camponotus piceus (Leach, 1825);E&S_FO_B4_T41;NHEN-29858;camponotus piceus;S;;;;7;7;#N/A;;;N.HENON;ECO&SOLS;45632;
France;RHONE-ALPES;DROME;26;26017;Aucelon;ECO&SOLS;Equipe ECO&SOLS;2132822;1768;trimanuel;1;44.6346263421969;5.34894544254264;751;23/04/2024;23/04/2024;Chênaie claire;;Tri manuel;;Insecta;Hymenoptera;Formicidae;219519;Camponotus piceus;Camponotus piceus (Leach, 1825);E&S_FO_B8_T13;NHEN-30313;camponotus piceus;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45643;
France;RHONE-ALPES;DROME;26;26017;Aucelon;ECO&SOLS;Equipe ECO&SOLS;2132822;1768;trimanuel;5;44.6346263421969;5.34894544254264;751;23/04/2024;23/04/2024;Chênaie claire;;Tri manuel;;Insecta;Hymenoptera;Formicidae;219519;Camponotus piceus;Camponotus piceus (Leach, 1825);E&S_FO_B8_T14;NHEN-30314;camponotus piceus;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45643;
France;PROVENCE-ALPES-COTE DAZUR;VAUCLUSE;84;84065;Lauris;ECO&SOLS;Equipe ECO&SOLS;2132882;2034;Pitfall;3;43.7733624323249;5.30087879165883;292;25/03/2024;22/04/2024;Garrigue;;Pitfall;;Insecta;Hymenoptera;Formicidae;264499;Camponotus pilicornis;Camponotus pilicornis (Roger, 1859);E&S_FO_B4_T56;NHEN-29874;camponotus pilicornis;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45632;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83053;Evenos;ECO&SOLS;Equipe ECO&SOLS;2132872;2205;Pitfall;2;43.1807256825456;5.85371529787471;274;27/03/2024;22/04/2024;Pinède;;Pitfall;;Insecta;Hymenoptera;Formicidae;52785;Camponotus vagus;Camponotus vagus (Scopoli, 1763);E&S_FO_B2_T86;NHEN-29699;camponotus vagus;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45631;
France;RHONE-ALPES;DROME;26;26017;Aucelon;ECO&SOLS;Equipe ECO&SOLS;2132822;1768;Pitfall;4;44.6346263421969;5.34894544254264;751;23/04/2024;27/05/2024;Chênaie claire;;Pitfall;;Insecta;Hymenoptera;Formicidae;52785;Camponotus vagus;Camponotus vagus (Scopoli, 1763);E&S_FO_B4_T27;NHEN-29844;camponotus vagus;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45632;
France;RHONE-ALPES;DROME;26;26017;Aucelon;ECO&SOLS;Equipe ECO&SOLS;2132822;1768;Pitfall;5;44.6346263421969;5.34894544254264;751;23/04/2024;27/05/2024;Chênaie claire;;Pitfall;;Insecta;Hymenoptera;Formicidae;52785;Camponotus vagus;Camponotus vagus (Scopoli, 1763);E&S_FO_B4_T33;NHEN-29850;camponotus vagus;S;;;;6;6;#N/A;;;N.HENON;ECO&SOLS;45632;
France;RHONE-ALPES;ISERE;38;38298;Le Peage-De-Roussillon;ECO&SOLS;Equipe ECO&SOLS;2132824;1556;Pitfall;5;45.3690149100078;4.77475157668675;138;10/04/2024;07/05/2024;Verger;;Pitfall;;Insecta;Hymenoptera;Formicidae;52785;Camponotus vagus;Camponotus vagus (Scopoli, 1763);E&S_FO_B9_T27;NHEN-30427;camponotus vagus;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45644;
France;RHONE-ALPES;DROME;26;26017;Aucelon;ECO&SOLS;Equipe ECO&SOLS;2132822;1768;Pitfall;6;44.6346263421969;5.34894544254264;751;23/04/2024;27/05/2024;Chênaie claire;;Pitfall;;Insecta;Hymenoptera;Formicidae;52785;Camponotus vagus;Camponotus vagus (Scopoli, 1763);E&S_FO_B4_T44;NHEN-29861;camponotus vagus;S;;;;12;12;#N/A;;;N.HENON;ECO&SOLS;45632;
France;PROVENCE-ALPES-COTE DAZUR;ALPES-DE-HAUTE-PROVENCE;4;4157;Puimoisson;ECO&SOLS;Equipe ECO&SOLS;2132865;1992;Pitfall;2;43.8921670756657;6.10461897406734;712;24/04/2024;28/05/2024;Culture de coriande;;Pitfall;;Insecta;Hymenoptera;Formicidae;219512;Cataglyphis cursor;Cataglyphis cursor (Fonscolombe, 1846);E&S_FO_B4_T12;NHEN-29828;cataglyphis cursor;S;;;;2;2;#N/A;;;N.HENON;ECO&SOLS;45632;
France;PROVENCE-ALPES-COTE DAZUR;ALPES-DE-HAUTE-PROVENCE;4;4157;Puimoisson;ECO&SOLS;Equipe ECO&SOLS;2132865;1992;Pitfall;6;43.8921670756657;6.10461897406734;712;24/04/2024;28/05/2024;Culture de coriande;;Pitfall;;Insecta;Hymenoptera;Formicidae;219512;Cataglyphis cursor;Cataglyphis cursor (Fonscolombe, 1846);E&S_FO_B4_T23;NHEN-29840;cataglyphis cursor;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45632;
France;PROVENCE-ALPES-COTE DAZUR;VAUCLUSE;84;84065;Lauris;ECO&SOLS;Equipe ECO&SOLS;2132882;2034;Pitfall;1;43.7733624323249;5.30087879165883;292;25/03/2024;22/04/2024;Garrigue;;Pitfall;;Insecta;Hymenoptera;Formicidae;52811;Crematogaster scutellaris;Crematogaster scutellaris (Olivier, 1792);E&S_FO_B4_T46;NHEN-29864;crematogaster scutellaris;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45632;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83053;Evenos;ECO&SOLS;Equipe ECO&SOLS;2132872;2205;Pitfall;2;43.1807256825456;5.85371529787471;274;27/03/2024;22/04/2024;Pinède;;Pitfall;;Insecta;Hymenoptera;Formicidae;52811;Crematogaster scutellaris;Crematogaster scutellaris (Olivier, 1792);E&S_FO_B2_T87;NHEN-29700;crematogaster scutellaris;S;;;;7;7;#N/A;;;N.HENON;ECO&SOLS;45631;
