species,status,reason,n_sites_available,n_sites_detected,n_rep
Badister bullatus,usable_unstable,extreme_coef,64,11,6
Badister lacertosus,skip,n_detected_sites<9,64,0,NA
Badister sodalis,skip,n_detected_sites<9,64,1,NA
Bembidion callosum,skip,n_detected_sites<9,64,2,NA
Bembidion deletum,skip,n_detected_sites<9,64,1,NA
Bembidion guttula,skip,n_detected_sites<9,64,2,NA
Bembidion lampros,ok,NA,64,24,6
Bembidion lunulatum,usable_unstable,large_or_missing_se,64,12,6
Bembidion obtusum,ok,NA,64,10,6
Bembidion properans,usable_unstable,large_or_missing_se,64,26,6
Bembidion quadrimaculatum,ok,NA,64,13,6
Bembidion tetracolum,skip,n_detected_sites<9,64,3,NA
Brachinus crepitans,skip,n_detected_sites<9,64,7,NA
Brachinus elegans,skip,n_detected_sites<9,64,1,NA
Brachinus explodens,skip,n_detected_sites<9,64,6,NA
Brachinus sclopeta,ok,NA,64,9,6
Bradycellus harpalinus,skip,n_detected_sites<9,64,0,NA
Calathus fuscipes,skip,n_detected_sites<9,64,8,NA
Calathus melanocephalus,skip,n_detected_sites<9,64,2,NA
Calathus rotundicollis,skip,n_detected_sites<9,64,1,NA
Callistus lunatus,skip,n_detected_sites<9,64,1,NA
Carabus auratus,unstable,summary_failed,64,9,6
Carabus auronitens,skip,n_detected_sites<9,64,2,NA
Carabus cancellatus,skip,n_detected_sites<9,64,2,NA
Carabus convexus,skip,n_detected_sites<9,64,2,NA
Carabus granulatus,skip,n_detected_sites<9,64,3,NA
Carabus hispanus,skip,n_detected_sites<9,64,0,NA
Carabus monilis,skip,n_detected_sites<9,64,2,NA
Carabus nemoralis,ok,NA,64,15,6
Carabus problematicus,skip,n_detected_sites<9,64,5,NA
Carabus violaceus,skip,n_detected_sites<9,64,1,NA
Carabus violaceus purpurascens,skip,n_detected_sites<9,64,3,NA
Chlaenius chrysocephalus,skip,n_detected_sites<9,64,1,NA
Chlaenius nigricornis,skip,n_detected_sites<9,64,1,NA
Chlaenius olivieri,skip,n_detected_sites<9,64,1,NA
Chlaenius tibialis,skip,n_detected_sites<9,64,1,NA
Cicindela campestris,skip,n_detected_sites<9,64,3,NA
Clivina collaris,skip,n_detected_sites<9,64,1,NA
Clivina fossor,skip,n_detected_sites<9,64,6,NA
Cychrus attenuatus,skip,n_detected_sites<9,64,1,NA
Cylindera germanica,skip,n_detected_sites<9,64,1,NA
Cymindis humeralis,skip,n_detected_sites<9,64,1,NA
Demetrias atricapillus,skip,n_detected_sites<9,64,3,NA
Diachromus germanus,skip,n_detected_sites<9,64,1,NA
Drypta dentata,skip,n_detected_sites<9,64,1,NA
Dyschirius aeneus,skip,n_detected_sites<9,64,1,NA
Dyschirius globosus,skip,n_detected_sites<9,64,1,NA
Dyschirius tristis,skip,n_detected_sites<9,64,0,NA
Gynandromorphus etruscus,skip,n_detected_sites<9,64,1,NA
Harpalus,skip,n_detected_sites<9,64,0,NA
Harpalus affinis,usable_unstable,large_or_missing_se,64,26,6
Harpalus anxius,skip,n_detected_sites<9,64,6,NA
Harpalus atratus,skip,n_detected_sites<9,64,1,NA
Harpalus cupreus,skip,n_detected_sites<9,64,3,NA
Harpalus dimidiatus,ok,NA,64,23,6
Harpalus distinguendus,ok,NA,64,22,6
Harpalus honestus,skip,n_detected_sites<9,64,3,NA
Harpalus laevipes,skip,n_detected_sites<9,64,2,NA
Harpalus latus,skip,n_detected_sites<9,64,4,NA
Harpalus luteicornis,skip,n_detected_sites<9,64,2,NA
Harpalus oblitus,skip,n_detected_sites<9,64,1,NA
Harpalus pygmaeus,skip,n_detected_sites<9,64,1,NA
Harpalus rubripes,ok,NA,64,12,6
Harpalus rufipalpis,skip,n_detected_sites<9,64,3,NA
Harpalus serripes,skip,n_detected_sites<9,64,4,NA
Harpalus tardus,usable_unstable,extreme_coef,64,9,6
Leistus fulvibarbis,skip,n_detected_sites<9,64,2,NA
Leistus rufomarginatus,skip,n_detected_sites<9,64,1,NA
Leistus spinibarbis,skip,n_detected_sites<9,64,1,NA
Licinus hoffmannseggi,skip,n_detected_sites<9,64,1,NA
Licinus punctatulus,skip,n_detected_sites<9,64,2,NA
Licinus silphoides,skip,n_detected_sites<9,64,1,NA
Loricera pilicornis,ok,NA,64,17,6
Microlestes,ok,NA,64,9,6
Microlestes abeillei,skip,n_detected_sites<9,64,1,NA
Microlestes luctuosus,skip,n_detected_sites<9,64,1,NA
Microlestes maurus,skip,n_detected_sites<9,64,3,NA
Microlestes minutulus,skip,n_detected_sites<9,64,6,NA
Molops piceus,skip,n_detected_sites<9,64,2,NA
Nebria brevicollis,ok,NA,64,21,6
Nebria salina,ok,NA,64,25,6
Notiophilus aestuans,skip,n_detected_sites<9,64,1,NA
Notiophilus aquaticus,skip,n_detected_sites<9,64,1,NA
Notiophilus biguttatus,ok,NA,64,16,6
Notiophilus germinyi,skip,n_detected_sites<9,64,2,NA
Notiophilus palustris,skip,n_detected_sites<9,64,2,NA
Notiophilus quadripunctatus,usable_unstable,large_or_missing_se,64,25,6
Notiophilus rufipes,skip,n_detected_sites<9,64,6,NA
Notiophilus substriatus,ok,NA,64,20,6
Ophonus ardosiacus,skip,n_detected_sites<9,64,3,NA
Ophonus azureus,skip,n_detected_sites<9,64,1,NA
Ophonus cribricollis,skip,n_detected_sites<9,64,1,NA
Ophonus puncticeps,skip,n_detected_sites<9,64,1,NA
Ophonus schaubergerianus,skip,n_detected_sites<9,64,1,NA
Oxypselaphus obscurus,skip,n_detected_sites<9,64,0,NA
Panagaeus bipustulatus,skip,n_detected_sites<9,64,2,NA
Pangus scaritides,skip,n_detected_sites<9,64,0,NA
Paradromius linearis,skip,n_detected_sites<9,64,3,NA
Paranchus albipes,skip,n_detected_sites<9,64,1,NA
Parophonus maculicornis,usable_unstable,extreme_coef,64,13,6
Pedius longicollis,skip,n_detected_sites<9,64,1,NA
Platyderus depressus,skip,n_detected_sites<9,64,1,NA
Platynus assimilis,skip,n_detected_sites<9,64,3,NA
Poecilus cupreus,unstable,large_or_missing_se_and_extreme_coef,64,38,6
Poecilus kugelanni,skip,n_detected_sites<9,64,5,NA
Poecilus lepidus,skip,n_detected_sites<9,64,1,NA
Poecilus lepidus gressorius,skip,n_detected_sites<9,64,1,NA
Poecilus purpurascens,skip,n_detected_sites<9,64,3,NA
Poecilus sericeus,skip,n_detected_sites<9,64,1,NA
Poecilus versicolor,usable_unstable,large_or_missing_se,64,12,6
Polistichus connexus,skip,n_detected_sites<9,64,1,NA
Pseudoophonus rufipes,unstable,summary_failed,64,10,6
Pterostichus anthracinus,skip,n_detected_sites<9,64,4,NA
Pterostichus cristatus,skip,n_detected_sites<9,64,1,NA
Pterostichus diligens,skip,n_detected_sites<9,64,1,NA
Pterostichus funestes,skip,n_detected_sites<9,64,1,NA
Pterostichus madidus,usable_unstable,large_or_missing_se,64,13,6
Pterostichus melanarius,usable_unstable,large_or_missing_se,64,9,6
Pterostichus minor,skip,n_detected_sites<9,64,0,NA
Pterostichus niger,skip,n_detected_sites<9,64,2,NA
Pterostichus nigrita,skip,n_detected_sites<9,64,1,NA
Pterostichus oblongopunctatus,skip,n_detected_sites<9,64,3,NA
Pterostichus pumilio,skip,n_detected_sites<9,64,2,NA
Pterostichus strenuus,skip,n_detected_sites<9,64,6,NA
Pterostichus vernalis,skip,n_detected_sites<9,64,8,NA
Semiophonus signaticornis,skip,n_detected_sites<9,64,2,NA
Stenolophus teutonus,skip,n_detected_sites<9,64,7,NA
Stomis pumicatus,skip,n_detected_sites<9,64,2,NA
Syntomus foveatus,skip,n_detected_sites<9,64,6,NA
Syntomus obscuroguttatus,skip,n_detected_sites<9,64,7,NA
Syntomus truncatellus,skip,n_detected_sites<9,64,5,NA
Synuchus vivalis,skip,n_detected_sites<9,64,0,NA
Tachys bistriatus,skip,n_detected_sites<9,64,7,NA
Tachyura parvula,skip,n_detected_sites<9,64,1,NA
Trechus obtusus,skip,n_detected_sites<9,64,2,NA
Trechus quadristriatus,ok,NA,64,23,6
Zabrus tenebrioides,skip,n_detected_sites<9,64,0,NA
