PAYS;REGION;DEPARTEMENT;CD_DEPT;NOM_LOCALITE;PROJET;ORGANISME;OBSERVATEUR;STATION;REPETITION;METHODE;CLASSE;ORDRE;FAMILLE;CD_NOM;CD_REF;LB_NOM;NOM_VALIDE;NOM_CITE;Stade;ABONDANCE_TOTALE;DETERMINATEUR;DATE_DETERMINATION;MASSE;NOM_SAISIE
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB2;Pitfall;Insecta;Coleoptera;Staphylinidae;184776;184776;Staphylinidae;Staphylinidae Latreille, 1802;staphylinidae;adulte;2;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB2;Pitfall;Insecta;Hymenoptera;Formicidae;185188;185188;Formicidae;Formicidae Latreille, 1809;formicidae;adulte;2;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB2;Pitfall;Malacostraca;Isopoda;NA;184472;184472;Isopoda;Isopoda Latreille, 1817;isopoda;adulte;5;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB2;Pitfall;Arachnida;Araneae;NA;184348;184348;Araneae;Araneae Clerck, 1758;araneae;adulte;16;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB3;Pitfall;Arachnida;Araneae;NA;184348;184348;Araneae;Araneae Clerck, 1758;araneae;adulte;1;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB3;Pitfall;Insecta;Coleoptera;Elateridae;184735;184735;Elateridae;Elateridae Leach, 1815;elateridae;adulte;1;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB3;Pitfall;Insecta;Coleoptera;Chrysomelidae;184644;184644;Chrysomelidae;Chrysomelidae Latreille, 1802;chrysomelidae;adulte;1;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB3;Pitfall;Insecta;Coleoptera;Carabidae;184615;184615;Carabidae;Carabidae Latreille, 1802;carabidae;adulte;3;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB3;Pitfall;Insecta;Hymenoptera;Formicidae;185188;185188;Formicidae;Formicidae Latreille, 1809;formicidae;adulte;4;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB3;Pitfall;Malacostraca;Isopoda;NA;184472;184472;Isopoda;Isopoda Latreille, 1817;isopoda;adulte;4;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB4;Pitfall;Arachnida;Araneae;NA;184348;184348;Araneae;Araneae Clerck, 1758;araneae;adulte;1;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB4;Pitfall;Insecta;Coleoptera;Carabidae;184615;184615;Carabidae;Carabidae Latreille, 1802;carabidae;adulte;3;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB4;Pitfall;Malacostraca;Isopoda;NA;184472;184472;Isopoda;Isopoda Latreille, 1817;isopoda;adulte;3;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB5;Pitfall;Malacostraca;Isopoda;NA;184472;184472;Isopoda;Isopoda Latreille, 1817;isopoda;adulte;1;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB5;Pitfall;Insecta;Coleoptera;NA;184612;184612;Coleoptera;Coleoptera Linnaeus, 1758;Coleoptera;larve;1;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB5;Pitfall;Insecta;Coleoptera;Anthicidae;184697;184697;Anthicidae;Anthicidae Latreille, 1819;anthicidae;adulte;1;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB5;Pitfall;Insecta;Hymenoptera;Formicidae;185188;185188;Formicidae;Formicidae Latreille, 1809;formicidae;adulte;2;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB5;Pitfall;Insecta;Coleoptera;Staphylinidae;184776;184776;Staphylinidae;Staphylinidae Latreille, 1802;staphylinidae;adulte;2;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB5;Pitfall;Arachnida;Araneae;NA;184348;184348;Araneae;Araneae Clerck, 1758;araneae;adulte;7;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB6;Pitfall;Arachnida;Araneae;NA;184348;184348;Araneae;Araneae Clerck, 1758;araneae;adulte;1;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB6;Pitfall;Malacostraca;Isopoda;NA;184472;184472;Isopoda;Isopoda Latreille, 1817;isopoda;adulte;1;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB6;Pitfall;Insecta;Coleoptera;NA;184612;184612;Coleoptera;Coleoptera Linnaeus, 1758;Coleoptera;adulte;1;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB6;Pitfall;Insecta;Coleoptera;Staphylinidae;184776;184776;Staphylinidae;Staphylinidae Latreille, 1802;staphylinidae;adulte;1;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB6;Pitfall;Insecta;Hymenoptera;Formicidae;185188;185188;Formicidae;Formicidae Latreille, 1809;formicidae;adulte;11;N.HENON;12/06/2024;;N.HENON
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB1;Pitfall;Arachnida;Araneae;NA;184348;184348;Araneae;Araneae Clerck, 1758;araneae;adulte;1;N.HENON;04/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB1;Pitfall;Insecta;Diptera;NA;184803;184803;Diptera;Diptera Linnaeus, 1758;diptera;adulte;1;N.HENON;04/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB1;Pitfall;Insecta;Coleoptera;NA;184612;184612;Coleoptera;Coleoptera Linnaeus, 1758;coleoptera;adulte;1;N.HENON;04/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB1;Pitfall;Insecta;Coleoptera;Staphylinidae;184776;184776;Staphylinidae;Staphylinidae Latreille, 1802;staphylinidae;adulte;1;N.HENON;04/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB1;Pitfall;Arachnida;Opiliones;NA;183822;183822;Opiliones;Opiliones Sundevall, 1833;opiliones;adulte;2;N.HENON;04/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB1;Pitfall;Insecta;Hymenoptera;Formicidae;185188;185188;Formicidae;Formicidae Latreille, 1809;formicidae;adulte;58;N.HENON;04/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB2;Pitfall;Insecta;Coleoptera;Carabidae;184615;184615;Carabidae;Carabidae Latreille, 1802;Carabidae;adulte;1;N.HENON;04/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB2;Pitfall;Insecta;Coleoptera;Carabidae;184615;184615;Carabidae;Carabidae Latreille, 1802;Carabidae;larve;1;N.HENON;04/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB2;Pitfall;Diplopoda;0;NA;185607;185607;Diplopoda;Diplopoda de Blainville in Gervais, 1844;diplopoda;adulte;1;N.HENON;04/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB2;Pitfall;Insecta;Diptera;NA;184803;184803;Diptera;Diptera Linnaeus, 1758;diptera;adulte;1;N.HENON;04/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB2;Pitfall;Insecta;Thysanoptera;NA;185540;185540;Thysanoptera;Thysanoptera Haliday, 1836;Thysanoptera;adulte;1;N.HENON;04/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB2;Pitfall;Insecta;Blattodea;NA;184787;184787;Blattodea;Blattodea Brunner von Wattenwyl, 1882;blattodea;adulte;1;N.HENON;04/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB2;Pitfall;Insecta;Orthoptera;NA;185375;185375;Orthoptera;Orthoptera Latreille, 1810;orthoptera;adulte;1;N.HENON;04/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB2;Pitfall;Insecta;Hemiptera;NA;184981;184981;Cicadomorpha;Cicadomorpha Evans, 1946;Cicadomorpha;adulte;2;N.HENON;04/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB2;Pitfall;Arachnida;Araneae;NA;184348;184348;Araneae;Araneae Clerck, 1758;araneae;adulte;3;N.HENON;04/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB2;Pitfall;Insecta;Hymenoptera;Formicidae;185188;185188;Formicidae;Formicidae Latreille, 1809;formicidae;adulte;412;N.HENON;04/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB3;Pitfall;Insecta;Coleoptera;Scarabaeidae;728142;728142;Melolonthinae;Melolonthinae Leach, 1819;melolonthinae;adulte;1;N.HENON;04/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB3;Pitfall;Insecta;Orthoptera;NA;185375;185375;Orthoptera;Orthoptera Latreille, 1810;orthoptera;adulte;1;N.HENON;04/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB3;Pitfall;Gastropoda;Stylommatophora;Limacidae;186406;186406;Limacidae;Limacidae Batsch, 1789;limacidae;adulte;1;N.HENON;04/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB3;Pitfall;Insecta;Coleoptera;Scarabaeidae;195456;195456;Onthophagus;Onthophagus Latreille, 1802;Onthophagus;adulte;1;N.HENON;04/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB3;Pitfall;Insecta;Coleoptera;Staphylinidae;184776;184776;Staphylinidae;Staphylinidae Latreille, 1802;staphylinidae;adulte;1;N.HENON;04/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB3;Pitfall;Insecta;Hemiptera;Reduviidae;185030;185030;Reduviidae;Reduviidae Latreille, 1807;reduviidae;adulte;2;N.HENON;04/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB3;Pitfall;Insecta;Diptera;NA;184803;184803;Diptera;Diptera Linnaeus, 1758;diptera;adulte;4;N.HENON;04/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB3;Pitfall;Arachnida;Araneae;NA;184348;184348;Araneae;Araneae Clerck, 1758;araneae;adulte;10;N.HENON;04/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB3;Pitfall;Insecta;Hymenoptera;Formicidae;185188;185188;Formicidae;Formicidae Latreille, 1809;formicidae;adulte;239;N.HENON;04/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB4;Pitfall;Malacostraca;Isopoda;NA;184472;184472;Isopoda;Isopoda Latreille, 1817;Isopoda;adulte;1;B.VAYSSE;05/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB4;Pitfall;0;0;NA;183818;183818;Arthropoda;Arthropoda Latreille, 1829;arthropoda;adulte;1;B.VAYSSE;05/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB4;Pitfall;Insecta;Orthoptera;Gryllidae;185388;185388;Gryllidae;Gryllidae Laicharting, 1781;gryllidae;adulte;1;B.VAYSSE;05/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB4;Pitfall;Insecta;Coleoptera;Staphylinidae;184776;184776;Staphylinidae;Staphylinidae Latreille, 1802;staphylinidae;adulte;1;B.VAYSSE;05/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB4;Pitfall;Insecta;Coleoptera;Latridiidae;184670;184670;Latridiidae;Latridiidae Erichson, 1842;latridiidae;adulte;1;B.VAYSSE;05/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB4;Pitfall;Insecta;Hemiptera;NA;184980;184980;Hemiptera;Hemiptera Linnaeus, 1758;hemiptera;larve;1;B.VAYSSE;05/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB4;Pitfall;Arachnida;Araneae;NA;184348;184348;Araneae;Araneae Clerck, 1758;araneae;adulte;4;B.VAYSSE;05/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB4;Pitfall;Insecta;Diptera;NA;184803;184803;Diptera;Diptera Linnaeus, 1758;diptera;adulte;41;B.VAYSSE;05/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB4;Pitfall;Insecta;Hymenoptera;Formicidae;185188;185188;Formicidae;Formicidae Latreille, 1809;formicidae;adulte;43;B.VAYSSE;05/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB5;Pitfall;Insecta;Coleoptera;NA;184746;184746;Scarabaeoidea;Scarabaeoidea Latreille, 1802;scarabaeoidea;adulte;1;B.VAYSSE;05/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB5;Pitfall;Insecta;Coleoptera;Staphylinidae;184776;184776;Staphylinidae;Staphylinidae Latreille, 1802;staphylinidae;adulte;1;B.VAYSSE;05/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB5;Pitfall;Insecta;Hemiptera;NA;184980;184980;Hemiptera;Hemiptera Linnaeus, 1758;hemiptera;adulte;1;B.VAYSSE;05/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB5;Pitfall;Insecta;Hymenoptera;NA;185126;185126;Hymenoptera;Hymenoptera Linnaeus, 1758;hymenoptera;adulte;2;B.VAYSSE;05/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB5;Pitfall;Insecta;Diptera;NA;184803;184803;Diptera;Diptera Linnaeus, 1758;diptera;adulte;7;B.VAYSSE;05/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB5;Pitfall;Arachnida;Araneae;NA;184348;184348;Araneae;Araneae Clerck, 1758;araneae;adulte;7;B.VAYSSE;05/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB5;Pitfall;Insecta;Hymenoptera;Formicidae;185188;185188;Formicidae;Formicidae Latreille, 1809;formicidae;adulte;17;B.VAYSSE;05/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB6;Pitfall;Arachnida;Opiliones;NA;183822;183822;Opiliones;Opiliones Sundevall, 1833;opiliones;adulte;1;B.VAYSSE;05/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB6;Pitfall;0;0;NA;183818;183818;Arthropoda;Arthropoda Latreille, 1829;arthropoda;adulte;1;B.VAYSSE;05/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB6;Pitfall;Gastropoda;Stylommatophora;Limacidae;186406;186406;Limacidae;Limacidae Batsch, 1789;limacidae;adulte;3;B.VAYSSE;05/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB6;Pitfall;Insecta;Diptera;NA;184803;184803;Diptera;Diptera Linnaeus, 1758;diptera;adulte;6;B.VAYSSE;05/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB6;Pitfall;Insecta;Coleoptera;NA;184746;184746;Scarabaeoidea;Scarabaeoidea Latreille, 1802;scarabaeoidea;adulte;14;B.VAYSSE;05/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB6;Pitfall;Arachnida;Araneae;NA;184348;184348;Araneae;Araneae Clerck, 1758;araneae;adulte;14;B.VAYSSE;05/06/2024;;T.GELIS
France;RHONE-ALPES;DROME;26;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;1768;PB6;Pitfall;Insecta;Hymenoptera;Formicidae;185188;185188;Formicidae;Formicidae Latreille, 1809;formicidae;adulte;163;B.VAYSSE;05/06/2024;;T.GELIS
France;MIDI-PYRENEES;ARIEGE;9;Aulus-les-Bains;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2276;PB1;Pitfall;Malacostraca;Isopoda;NA;184472;184472;Isopoda;Isopoda Latreille, 1817;isopoda;adulte;1;T.GELIS;26/07/2024;;N.HENON
France;MIDI-PYRENEES;ARIEGE;9;Aulus-les-Bains;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2276;PB1;Pitfall;Insecta;Coleoptera;Elateridae;184735;184735;Elateridae;Elateridae Leach, 1815;elateridae;larve;1;T.GELIS;26/07/2024;;N.HENON
France;MIDI-PYRENEES;ARIEGE;9;Aulus-les-Bains;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2276;PB1;Pitfall;Gastropoda;0;NA;186338;186338;Gastropoda;Gastropoda Cuvier, 1795;Gastropoda;adulte;2;T.GELIS;26/07/2024;;N.HENON
