CD_DEPT;NOM_LOCALITE;X (Longitude);Y (Latitude);ALTITUDE;HABITAT;METHODE;FAMILLE;NOM_VALIDE;BOITE;?;?;ABONDANCE_TOTALE;REMARQUE_INDIVIDU;A VERIFIER/PHOTO;DETERMINATEUR;DATE_DETERMINATION;MASSE
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);A FAIRE;;1;1;;;T.GELIS;45498;16.1
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);;1;;1;oui;;L.ABRAHAM;45492;18.2
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);A FAIRE;1;;1;;;T.GELIS;45498;18.6
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);A FAIRE;;1;1;;;T.GELIS;45498;18.9
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);CA_B1_T71;1;;1;;;L.ABRAHAM;45525;18.98
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);A FAIRE;;1;1;;;T.GELIS;45498;19.9
4;Puimoisson;43.8921670756657;6.10461897406734;712;Culture de coriande;Pitfall;Carabidae;Amara aenea (De Geer, 1774);;1;;1;oui;;L.ABRAHAM;45492;30
66;Porta;42.5280876159668;1.73446702957153;2267;Pelouse alpine;Pitfall;Carabidae;Amara equestris (Duftschmid, 1812);CA_B3_T47;1;;1;;;L.ABRAHAM;45532;41.2
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara similata (Gyllenhal, 1810);;;1;1;oui;;L.ABRAHAM;45492;40
81;Belcastel;44.3889199310117;2.32434462405189;579;Culture;Pitfall;Carabidae;Anchomenus dorsalis (Pontoppidan, 1763);;;1;1;oui ;;L.ABRAHAM;45492;8
81;Belcastel;44.3889199310117;2.32434462405189;579;Culture;Pitfall;Carabidae;Anchomenus dorsalis (Pontoppidan, 1763);;1;;1;oui ;;L.ABRAHAM;45492;12
81;Belcastel;44.3889199310117;2.32434462405189;579;Culture;Pitfall;Carabidae;Anchomenus dorsalis (Pontoppidan, 1763);;;1;1;oui ;;L.ABRAHAM;45492;15
81;Belcastel;44.3889199310117;2.32434462405189;579;Culture;Pitfall;Carabidae;Anchomenus dorsalis (Pontoppidan, 1763);;1;;1;oui;;L.ABRAHAM;45492;10.3
81;Belcastel;44.3889199310117;2.32434462405189;579;Culture;Pitfall;Carabidae;Anchomenus dorsalis (Pontoppidan, 1763);;;1;1;oui;;L.ABRAHAM;45492;10.9
81;Belcastel;44.3889199310117;2.32434462405189;579;Culture;Pitfall;Carabidae;Anchomenus dorsalis (Pontoppidan, 1763);;;1;1;oui;;L.ABRAHAM;45492;11.64
81;Belcastel;44.3889199310117;2.32434462405189;579;Culture;Pitfall;Carabidae;Anchomenus dorsalis (Pontoppidan, 1763);A FAIRE;;1;1;;;T.GELIS;45492;15.2
81;Belcastel;44.3889199310117;2.32434462405189;579;Culture;Pitfall;Carabidae;Anchomenus dorsalis (Pontoppidan, 1763);;1;;1;oui;;L.ABRAHAM;45492;6.4
81;Belcastel;44.3889199310117;2.32434462405189;579;Culture;Pitfall;Carabidae;Anchomenus dorsalis (Pontoppidan, 1763);A FAIRE;;1;1;;;T.GELIS;45492;6.5
81;Belcastel;44.3889199310117;2.32434462405189;579;Culture;Pitfall;Carabidae;Anchomenus dorsalis (Pontoppidan, 1763);;1;;1;oui;;L.ABRAHAM;45492;7.3
1;Bregnier-Cordon;45.6401693491095;5.61003921649128;209;Friche humide;Pitfall;Carabidae;Anchomenus dorsalis (Pontoppidan, 1763);CA_B1_T6;1;;1;;;T.GELIS;45524;3.83
1;Bregnier-Cordon;45.6401693491095;5.61003921649128;209;Friche humide;Pitfall;Carabidae;Anchomenus dorsalis (Pontoppidan, 1763);CA_B1_T43;1;;1;;;L.ABRAHAM;45524;4.6
1;Bregnier-Cordon;45.6401693491095;5.61003921649128;209;Friche humide;Pitfall;Carabidae;Anchomenus dorsalis (Pontoppidan, 1763);CA_B1_T47;1;;1;;;L.ABRAHAM;45524;9.2
1;Bregnier-Cordon;45.6401693491095;5.61003921649128;209;Friche humide;Pitfall;Carabidae;Anchomenus dorsalis (Pontoppidan, 1763);CA_B1_T44;1;;1;;;L.ABRAHAM;45524;9.78
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Anchomenus dorsalis (Pontoppidan, 1763);;1;;1;oui;;L.ABRAHAM;45492;6.8
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Anchomenus dorsalis (Pontoppidan, 1763);CA_B1_T77;1;;1;;;L.ABRAHAM;45525;7.16
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Anchomenus dorsalis (Pontoppidan, 1763);CA_B1_T41;1;;1;;;T.GELIS;45525;7.52
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Anchomenus dorsalis (Pontoppidan, 1763);A FAIRE;;1;1;;;T.GELIS;45498;9.4
4;Puimoisson;43.8921670756657;6.10461897406734;712;Culture de coriande;Pitfall;Carabidae;Anchomenus dorsalis (Pontoppidan, 1763);A FAIRE;;1;1;;;T.GELIS;45496;10.6
4;Puimoisson;43.8921670756657;6.10461897406734;712;Culture de coriande;Pitfall;Carabidae;Anchomenus dorsalis (Pontoppidan, 1763);A FAIRE;;1;1;;;T.GELIS;45497;11.1
4;Puimoisson;43.8921670756657;6.10461897406734;712;Culture de coriande;Pitfall;Carabidae;Anchomenus dorsalis (Pontoppidan, 1763);;1;;1;oui;;L.ABRAHAM;45492;12.5
13;Arles;43.6487932757976;4.50250101102574;0;Pelouse écorchée à salicorne;Pitfall;Carabidae;Anisodactylus binotatus (Fabricius, 1787);CA_B2_T17;;1;1;vu avec MH;;T.GELIS;45526;71.3
1;Bregnier-Cordon;45.6401693491095;5.61003921649128;209;Friche humide;Pitfall;Carabidae;Asaphidion curtum (Heyden, 1870);CA_B1_T8;;1;1;;;T.GELIS;45524;1.14
1;Bregnier-Cordon;45.6401693491095;5.61003921649128;209;Friche humide;Pitfall;Carabidae;Asaphidion curtum (Heyden, 1870);CA_B1_T9;1;;1;;;T.GELIS;45524;1.35
1;Bregnier-Cordon;45.6401693491095;5.61003921649128;209;Friche humide;Pitfall;Carabidae;Asaphidion curtum (Heyden, 1870);CA_B1_T13;1;;1;;;T.GELIS;45524;1.91
1;Bregnier-Cordon;45.6401693491095;5.61003921649128;209;Friche humide;Pitfall;Carabidae;Asaphidion curtum (Heyden, 1870);CA_B1_T12;1;;1;;;T.GELIS;45524;2.34
1;Bregnier-Cordon;45.6401693491095;5.61003921649128;209;Friche humide;Pitfall;Carabidae;Asaphidion curtum (Heyden, 1870);CA_B1_T42;1;;1;;;L.ABRAHAM;45524;2.56
1;Bregnier-Cordon;45.6401693491095;5.61003921649128;209;Friche humide;Pitfall;Carabidae;Asaphidion curtum (Heyden, 1870);CA_B1_T11;1;;1;;;T.GELIS;45524;2.79
1;Bregnier-Cordon;45.6401693491095;5.61003921649128;209;Friche humide;Pitfall;Carabidae;Asaphidion curtum (Heyden, 1870);CA_B1_T14;;1;1;;;T.GELIS;45524;3.12
1;Bregnier-Cordon;45.6401693491095;5.61003921649128;209;Friche humide;Pitfall;Carabidae;Asaphidion curtum (Heyden, 1870);CA_B1_T7;;1;1;;;T.GELIS;45524;3.17
81;Belcastel;44.3889199310117;2.32434462405189;579;Culture;Pitfall;Carabidae;Bembidiini Stephens, 1827;A FAIRE;;;1;;;T.GELIS;45496;1.99
1;Bregnier-Cordon;45.6401693491095;5.61003921649128;209;Friche humide;Pitfall;Carabidae;Bembidiini Stephens, 1827;CA_B1_T10;;1;1;;;T.GELIS;45524;0.14
12;Belmont-sur-Rance;43.8125780995336;2.72179965795729;506;Chenaie;Pitfall;Carabidae;Bembidion callosum Küster, 1847;CA_B3_T56;;;1;;;L.ABRAHAM;45532;1.7
81;Belcastel;44.3889199310117;2.32434462405189;579;Culture;Pitfall;Carabidae;Bembidion Latreille, 1802;;;;1;;;L.ABRAHAM;45492;2.5
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Bembidion obtusum Audinet-Serville, 1821;CA_B2_T44;;;1;;;L.ABRAHAM;45526;0.28
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Bembidion obtusum Audinet-Serville, 1821;CA_B1_T61;1;;1;;;L.ABRAHAM;45525;0.46
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Bembidion obtusum Audinet-Serville, 1821;CA_B1_T62;;1;1;;;L.ABRAHAM;45525;1.1
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Bembidion obtusum Audinet-Serville, 1821;CA_B1_T63;;1;1;;;L.ABRAHAM;45525;1.2
81;Belcastel;44.3889199310117;2.32434462405189;579;Culture;Pitfall;Carabidae;Bembidion properans (Stephens, 1828);;;;1;à verifier/determiner;x;L.ABRAHAM;45492;2.16
1;Bregnier-Cordon;45.6401693491095;5.61003921649128;209;Friche humide;Pitfall;Carabidae;Bembidion properans (Stephens, 1828);CA_B1_T51;;1;1;;;L.ABRAHAM;45524;0.27
1;Bregnier-Cordon;45.6401693491095;5.61003921649128;209;Friche humide;Pitfall;Carabidae;Bembidion properans (Stephens, 1828);CA_B1_T50;;1;1;;;L.ABRAHAM;45524;0.32
1;Bregnier-Cordon;45.6401693491095;5.61003921649128;209;Friche humide;Pitfall;Carabidae;Bembidion properans (Stephens, 1828);CA_B1_T49;;1;1;;;L.ABRAHAM;45524;0.65
1;Bregnier-Cordon;45.6401693491095;5.61003921649128;209;Friche humide;Pitfall;Carabidae;Bembidion properans (Stephens, 1828);CA_B1_T48;1;;1;;;L.ABRAHAM;45524;0.74
1;Bregnier-Cordon;45.6401693491095;5.61003921649128;209;Friche humide;Pitfall;Carabidae;Bembidion properans (Stephens, 1828);CA_B1_T18;1;;1;vu avec MH;;T.GELIS;45524;0.82
1;Bregnier-Cordon;45.6401693491095;5.61003921649128;209;Friche humide;Pitfall;Carabidae;Bembidion properans (Stephens, 1828);CA_B1_T19;;1;1;vu avec MH;;T.GELIS;45524;1.08
1;Bregnier-Cordon;45.6401693491095;5.61003921649128;209;Friche humide;Pitfall;Carabidae;Bembidion properans (Stephens, 1828);CA_B1_T53;;1;1;;;L.ABRAHAM;45525;1.25
1;Bregnier-Cordon;45.6401693491095;5.61003921649128;209;Friche humide;Pitfall;Carabidae;Bembidion properans (Stephens, 1828);CA_B1_T46;;;1;;;L.ABRAHAM;45524;1.27
1;Bregnier-Cordon;45.6401693491095;5.61003921649128;209;Friche humide;Pitfall;Carabidae;Bembidion properans (Stephens, 1828);CA_B1_T56;1;;1;;;L.ABRAHAM;45525;1.6
1;Bregnier-Cordon;45.6401693491095;5.61003921649128;209;Friche humide;Pitfall;Carabidae;Bembidion properans (Stephens, 1828);CA_B1_T55;1;;1;;;L.ABRAHAM;45525;2.15
1;Bregnier-Cordon;45.6401693491095;5.61003921649128;209;Friche humide;Pitfall;Carabidae;Bembidion properans (Stephens, 1828);CA_B1_T54;1;;1;;;L.ABRAHAM;45525;2.4
64;Lagos;43.2099108298878;-0.231911972629328;245;Culture;Pitfall;Carabidae;Bembidion properans (Stephens, 1828);CA_B3_T35;1;;1;a vérif car bembidion = compliqué ;;T.GELIS;45532;1.05
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Bembidion properans (Stephens, 1828);CA_B2_T43;1;;1;;;L.ABRAHAM;45526;0.12
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Bembidion properans (Stephens, 1828);;;;1;oui;;L.ABRAHAM;45492;2.2
66;Porta;42.5280876159668;1.73446702957153;2267;Pelouse alpine;Pitfall;Carabidae;Bembidion pyrenaeum Dejean, 1831;CA_B3_T46;1;;1;;;L.ABRAHAM;45532;0.21
66;Porta;42.5280876159668;1.73446702957153;2267;Pelouse alpine;Pitfall;Carabidae;Bembidion pyrenaeum Dejean, 1831;CA_B3_T42;;1;1;;;L.ABRAHAM;45532;0.24
66;Porta;42.5280876159668;1.73446702957153;2267;Pelouse alpine;Pitfall;Carabidae;Bembidion pyrenaeum Dejean, 1831;CA_B2_T21;1;;1;faire photo iNat vu avec MH;;T.GELIS;45527;0.33
66;Porta;42.5280876159668;1.73446702957153;2267;Pelouse alpine;Pitfall;Carabidae;Bembidion pyrenaeum Dejean, 1831;CA_B2_T27;;1;1;;;T.GELIS;45527;0.35
66;Porta;42.5280876159668;1.73446702957153;2267;Pelouse alpine;Pitfall;Carabidae;Bembidion pyrenaeum Dejean, 1831;CA_B2_T28;;1;1;;;T.GELIS;45527;0.36
66;Porta;42.5280876159668;1.73446702957153;2267;Pelouse alpine;Pitfall;Carabidae;Bembidion pyrenaeum Dejean, 1831;CA_B2_T29;;1;1;;;T.GELIS;45527;0.39
66;Porta;42.5280876159668;1.73446702957153;2267;Pelouse alpine;Pitfall;Carabidae;Bembidion pyrenaeum Dejean, 1831;CA_B2_T30;;1;1;;;T.GELIS;45527;0.4
66;Porta;42.5280876159668;1.73446702957153;2267;Pelouse alpine;Pitfall;Carabidae;Bembidion pyrenaeum Dejean, 1831;CA_B2_T23;1;;1;;;T.GELIS;45527;0.41
66;Porta;42.5280876159668;1.73446702957153;2267;Pelouse alpine;Pitfall;Carabidae;Bembidion pyrenaeum Dejean, 1831;CA_B2_T31;;1;1;;;T.GELIS;45527;0.41
66;Porta;42.5280876159668;1.73446702957153;2267;Pelouse alpine;Pitfall;Carabidae;Bembidion pyrenaeum Dejean, 1831;CA_B2_T32;;1;1;;;T.GELIS;45527;0.41
66;Porta;42.5280876159668;1.73446702957153;2267;Pelouse alpine;Pitfall;Carabidae;Bembidion pyrenaeum Dejean, 1831;CA_B2_T24;1;;1;;;T.GELIS;45527;0.46
66;Porta;42.5280876159668;1.73446702957153;2267;Pelouse alpine;Pitfall;Carabidae;Bembidion pyrenaeum Dejean, 1831;CA_B2_T26;1;;1;;;T.GELIS;45527;0.46
66;Porta;42.5280876159668;1.73446702957153;2267;Pelouse alpine;Pitfall;Carabidae;Bembidion pyrenaeum Dejean, 1831;CA_B3_T43;;1;1;;;L.ABRAHAM;45532;0.46
66;Porta;42.5280876159668;1.73446702957153;2267;Pelouse alpine;Pitfall;Carabidae;Bembidion pyrenaeum Dejean, 1831;CA_B2_T25;1;;1;;;T.GELIS;45527;0.53
66;Porta;42.5280876159668;1.73446702957153;2267;Pelouse alpine;Pitfall;Carabidae;Bembidion pyrenaeum Dejean, 1831;CA_B2_T22;1;;1;;;T.GELIS;45527;0.57
66;Porta;42.5280876159668;1.73446702957153;2267;Pelouse alpine;Pitfall;Carabidae;Bembidion pyrenaeum Dejean, 1831;CA_B3_T45;;1;1;;;L.ABRAHAM;45532;0.82
4;Puimoisson;43.8921670756657;6.10461897406734;712;Culture de coriande;Pitfall;Carabidae;Brachinus crepitans (Linnaeus, 1758);A FAIRE;1;;1;;;T.GELIS;45496;20
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Brachinus explodens Duftschmid, 1812;;;1;1;oui;;L.ABRAHAM;45492;7.2
