source_taxon_unit,source_genus,target_taxon_unit,target_genus,mapping_type
species:cdnom:9376,Chlaenius,species:cdnom:794337,Chlaenius,coherent_random
species:cdnom:222468,Semiophonus,NA,NA,no_candidate
species:cdnom:9311,Harpalus,species:cdnom:9300,Harpalus,coherent_random
species:cdnom:8402,Carabus,species:cdnom:8381,Carabus,coherent_random
species:cdnom:9078,Pterostichus,species:cdnom:222552,Pterostichus,coherent_random
species:cdnom:222545,Poecilus,species:cdnom:222541,Poecilus,coherent_random
species:cdnom:9230,Amara,species:cdnom:9207,Amara,coherent_random
species:cdnom:222450,Harpalus,species:cdnom:9315,Harpalus,coherent_random
species:cdnom:9300,Harpalus,species:cdnom:9304,Harpalus,coherent_random
species:cdnom:8780,Calathus,species:cdnom:222355,Calathus,coherent_random
species:cdnom:222557,Pterostichus,species:cdnom:222559,Pterostichus,coherent_random
species:cdnom:9066,Stomis,NA,NA,no_candidate
species:cdnom:9318,Harpalus,species:cdnom:222451,Harpalus,coherent_random
species:cdnom:9320,Harpalus,species:cdnom:9309,Harpalus,coherent_random
species:cdnom:9315,Harpalus,species:cdnom:9306,Harpalus,coherent_random
species:cdnom:795439,Poecilus,species:cdnom:222545,Poecilus,coherent_random
species:cdnom:222652,Amara,species:cdnom:9193,Amara,coherent_random
species:cdnom:9168,Cymindis,NA,NA,no_candidate
species:cdnom:222465,Pseudoophonus,species:cdnom:222466,Pseudoophonus,coherent_random
species:cdnom:222482,Ophonus,species:cdnom:222486,Ophonus,coherent_random
species:cdnom:9103,Pterostichus,species:cdnom:9136,Pterostichus,coherent_random
species:cdnom:8820,Agonum,species:cdnom:8819,Agonum,coherent_random
species:cdnom:8379,Carabus,species:cdnom:8410,Carabus,coherent_random
species:cdnom:222508,Badister,NA,NA,no_candidate
species:cdnom:222538,Pedius,NA,NA,no_candidate
species:cdnom:251435,Carabus,species:cdnom:8358,Carabus,coherent_random
species:cdnom:8502,Leistus,species:cdnom:8503,Leistus,coherent_random
species:cdnom:8826,Agonum,species:cdnom:8819,Agonum,coherent_random
species:cdnom:795386,Bembidion,species:cdnom:8617,Bembidion,coherent_random
species:cdnom:794235,Dyschirius,species:cdnom:8558,Dyschirius,coherent_random
species:cdnom:795219,Bembidion,species:cdnom:795216,Bembidion,coherent_random
species:cdnom:222568,Pterostichus,species:cdnom:9136,Pterostichus,coherent_random
species:cdnom:222547,Poecilus,species:cdnom:795439,Poecilus,coherent_random
species:cdnom:222451,Harpalus,species:cdnom:222455,Harpalus,coherent_random
species:cdnom:9309,Harpalus,species:cdnom:9315,Harpalus,coherent_random
species:cdnom:222356,Calathus,species:cdnom:8782,Calathus,coherent_random
species:cdnom:9212,Amara,species:cdnom:9200,Amara,coherent_random
species:cdnom:8558,Dyschirius,species:cdnom:794235,Dyschirius,coherent_random
species:cdnom:9217,Amara,species:cdnom:9192,Amara,coherent_random
species:cdnom:222352,Platyderus,NA,NA,no_candidate
species:cdnom:8447,Carabus,species:cdnom:8381,Carabus,coherent_random
