source_taxon_unit,source_genus,target_taxon_unit,target_genus,mapping_type
species:cdnom:1905,Arctosa,species:cdnom:1904,Arctosa,coherent_random
species:cdnom:457340,Pardosa,species:cdnom:233879,Pardosa,coherent_random
species:cdnom:1472,Oedothorax,species:cdnom:233688,Oedothorax,coherent_random
species:cdnom:233697,Palliduphantes,species:cdnom:233709,Palliduphantes,coherent_random
species:cdnom:931,Pirata,NA,NA,no_candidate
species:cdnom:1202,Zelotes,species:cdnom:1204,Zelotes,coherent_random
species:cdnom:1400,Ceratinella,species:cdnom:233505,Ceratinella,coherent_random
species:cdnom:233709,Palliduphantes,species:cdnom:233697,Palliduphantes,coherent_random
species:cdnom:1320,Asagena,NA,NA,no_candidate
species:cdnom:1271,Euryopis,species:cdnom:1275,Euryopis,coherent_random
species:cdnom:836055,Centromerus,species:cdnom:1377,Centromerus,coherent_random
species:cdnom:1377,Centromerus,species:cdnom:1378,Centromerus,coherent_random
species:cdnom:233788,Tenuiphantes,species:cdnom:233787,Tenuiphantes,coherent_random
species:cdnom:233861,Liocranoeca,NA,NA,no_candidate
species:cdnom:1442,Dicymbium,species:cdnom:233516,Dicymbium,coherent_random
species:cdnom:234067,Pachygnatha,species:cdnom:457316,Pachygnatha,coherent_random
species:cdnom:1437,Bathyphantes,NA,NA,no_candidate
species:cdnom:1392,Centromerita,NA,NA,no_candidate
species:cdnom:1457,Gongylidiellum,species:cdnom:1455,Gongylidiellum,coherent_random
species:cdnom:1425,Tiso,NA,NA,no_candidate
species:cdnom:233318,Drassyllus,species:cdnom:233321,Drassyllus,coherent_random
species:cdnom:1184,Haplodrassus,species:cdnom:1182,Haplodrassus,coherent_random
species:cdnom:233350,Micaria,species:cdnom:938619,Micaria,coherent_random
species:cdnom:233379,Setaphis,NA,NA,no_candidate
species:cdnom:1926,Pardosa,species:cdnom:1924,Pardosa,coherent_random
species:cdnom:1643,Xysticus,species:cdnom:234176,Xysticus,coherent_random
species:cdnom:1237,Zodarion,species:cdnom:1235,Zodarion,coherent_random
species:cdnom:1085,Argenna,NA,NA,no_candidate
species:cdnom:233466,Araeoncus,NA,NA,no_candidate
species:cdnom:1445,Erigone,species:cdnom:836361,Erigone,coherent_random
species:cdnom:836361,Erigone,species:cdnom:1446,Erigone,coherent_random
species:cdnom:233688,Oedothorax,species:cdnom:1474,Oedothorax,coherent_random
species:cdnom:1474,Oedothorax,species:cdnom:233688,Oedothorax,coherent_random
species:cdnom:1929,Pardosa,species:cdnom:233879,Pardosa,coherent_random
species:cdnom:1937,Pardosa,species:cdnom:303987,Pardosa,coherent_random
species:cdnom:233973,Chalcoscirtus,NA,NA,no_candidate
species:cdnom:458766,Mermessus,species:cdnom:721833,Mermessus,coherent_random
species:cdnom:233876,Hogna,NA,NA,no_candidate
species:cdnom:233426,Zelotes,species:cdnom:233389,Zelotes,coherent_random
species:cdnom:234053,Talavera,NA,NA,no_candidate
species:cdnom:1065,Amaurobius,NA,NA,no_candidate
species:cdnom:1640,Xysticus,species:cdnom:1643,Xysticus,coherent_random
species:cdnom:234176,Xysticus,species:cdnom:1647,Xysticus,coherent_random
species:cdnom:1174,Drassodes,species:cdnom:1176,Drassodes,coherent_random
species:cdnom:921,Xerolycosa,NA,NA,no_candidate
species:cdnom:233665,Micrargus,NA,NA,no_candidate
species:cdnom:234026,Pseudeuophrys,NA,NA,no_candidate
species:cdnom:302882,Haplodrassus,species:cdnom:907604,Haplodrassus,coherent_random
species:cdnom:457346,Trochosa,species:cdnom:1941,Trochosa,coherent_random
species:cdnom:1930,Pardosa,species:cdnom:1924,Pardosa,coherent_random
species:cdnom:233572,Glyphesis,NA,NA,no_candidate
species:cdnom:1923,Pardosa,species:cdnom:1927,Pardosa,coherent_random
species:cdnom:303203,Collinsia,NA,NA,no_candidate
species:cdnom:234119,Steatoda,NA,NA,no_candidate
species:cdnom:233570,Erigonoplus,species:cdnom:233568,Erigonoplus,coherent_random
species:cdnom:1207,Zelotes,species:cdnom:233426,Zelotes,coherent_random
species:cdnom:719974,Eratigena,species:cdnom:719821,Eratigena,coherent_random
species:cdnom:233802,Trichoncus,species:cdnom:1440,Trichoncus,coherent_random
species:cdnom:234094,Enoplognatha,species:cdnom:1323,Enoplognatha,coherent_random
species:cdnom:1440,Trichoncus,species:cdnom:233802,Trichoncus,coherent_random
species:cdnom:1660,Xysticus,species:cdnom:1664,Xysticus,coherent_random
species:cdnom:806890,Agyneta,species:cdnom:806889,Agyneta,coherent_random
species:cdnom:1896,Alopecosa,species:cdnom:887090,Alopecosa,coherent_random
species:cdnom:906427,Piratula,species:cdnom:806896,Piratula,coherent_random
species:cdnom:233741,Porrhomma,NA,NA,no_candidate
species:cdnom:233491,Centromerus,species:cdnom:836055,Centromerus,coherent_random
species:cdnom:233879,Pardosa,species:cdnom:457342,Pardosa,coherent_random
species:cdnom:1492,Tapinocyba,NA,NA,no_candidate
species:cdnom:1899,Alopecosa,species:cdnom:1894,Alopecosa,coherent_random
species:cdnom:234156,Ozyptila,species:cdnom:234165,Ozyptila,coherent_random
species:cdnom:304684,Theridion,NA,NA,no_candidate
species:cdnom:457386,Thanatus,species:cdnom:233953,Thanatus,coherent_random
species:cdnom:2015,Phlegra,NA,NA,no_candidate
species:cdnom:233427,Zelotes,species:cdnom:233401,Zelotes,coherent_random
species:cdnom:233246,Liophrurillus,NA,NA,no_candidate
species:cdnom:233281,Harpactea,species:cdnom:233285,Harpactea,coherent_random
species:cdnom:233782,Tenuiphantes,species:cdnom:233787,Tenuiphantes,coherent_random
species:cdnom:233713,Panamomops,species:cdnom:458715,Panamomops,coherent_random
species:cdnom:1882,Pisaura,NA,NA,no_candidate
species:cdnom:233885,Pardosa,species:cdnom:907035,Pardosa,coherent_random
species:cdnom:233827,Walckenaeria,species:cdnom:233831,Walckenaeria,coherent_random
species:cdnom:1777,Agroeca,species:cdnom:1774,Agroeca,coherent_random
species:cdnom:1904,Arctosa,species:cdnom:1905,Arctosa,coherent_random
species:cdnom:233831,Walckenaeria,species:cdnom:233827,Walckenaeria,coherent_random
species:cdnom:1002034,Marinarozelotes,NA,NA,no_candidate
species:cdnom:233568,Erigonoplus,species:cdnom:233570,Erigonoplus,coherent_random
species:cdnom:233516,Dicymbium,species:cdnom:1442,Dicymbium,coherent_random
species:cdnom:233750,Savignia,NA,NA,no_candidate
species:cdnom:1334,Robertus,species:cdnom:1336,Robertus,coherent_random
species:cdnom:1709,Micrommata,NA,NA,no_candidate
species:cdnom:1204,Zelotes,species:cdnom:1207,Zelotes,coherent_random
species:cdnom:1933,Pardosa,species:cdnom:233879,Pardosa,coherent_random
species:cdnom:1756,Zora,species:cdnom:1759,Zora,coherent_random
species:cdnom:1778,Agroeca,species:cdnom:1777,Agroeca,coherent_random
species:cdnom:1500,Sintula,NA,NA,no_candidate
species:cdnom:1647,Xysticus,species:cdnom:1664,Xysticus,coherent_random
species:cdnom:1205,Zelotes,species:cdnom:1207,Zelotes,coherent_random
species:cdnom:233726,Pelecopsis,species:cdnom:1504,Pelecopsis,coherent_random
species:cdnom:233829,Walckenaeria,species:cdnom:233844,Walckenaeria,coherent_random
species:cdnom:233529,Diplocephalus,species:cdnom:233524,Diplocephalus,coherent_random
species:cdnom:233844,Walckenaeria,species:cdnom:233833,Walckenaeria,coherent_random
species:cdnom:233894,Trochosa,species:cdnom:457346,Trochosa,coherent_random
species:cdnom:458715,Panamomops,species:cdnom:233713,Panamomops,coherent_random
species:cdnom:233734,Pocadicnemis,NA,NA,no_candidate
species:cdnom:902,Ero,NA,NA,no_candidate
species:cdnom:233854,Agraecina,NA,NA,no_candidate
species:cdnom:233401,Zelotes,species:cdnom:1205,Zelotes,coherent_random
species:cdnom:1275,Euryopis,species:cdnom:1271,Euryopis,coherent_random
species:cdnom:233607,Lasiargus,NA,NA,no_candidate
species:cdnom:1216,Poecilochroa,NA,NA,no_candidate
species:cdnom:1176,Drassodes,species:cdnom:1174,Drassodes,coherent_random
species:cdnom:1417,Microlinyphia,NA,NA,no_candidate
species:cdnom:233425,Zelotes,species:cdnom:233427,Zelotes,coherent_random
species:cdnom:233524,Diplocephalus,species:cdnom:233529,Diplocephalus,coherent_random
species:cdnom:1264,Episinus,NA,NA,no_candidate
species:cdnom:1726,Clubiona,NA,NA,no_candidate
species:cdnom:233285,Harpactea,species:cdnom:233281,Harpactea,coherent_random
species:cdnom:233571,Evansia,NA,NA,no_candidate
species:cdnom:1336,Robertus,species:cdnom:1334,Robertus,coherent_random
species:cdnom:233763,Styloctetor,species:cdnom:836053,Styloctetor,coherent_random
species:cdnom:836053,Styloctetor,species:cdnom:233763,Styloctetor,coherent_random
species:cdnom:233821,Troxochrus,NA,NA,no_candidate
species:cdnom:233856,Apostenus,NA,NA,no_candidate
species:cdnom:1182,Haplodrassus,species:cdnom:1180,Haplodrassus,coherent_random
species:cdnom:1874,Hahnia,species:cdnom:1872,Hahnia,coherent_random
species:cdnom:233317,Drassyllus,species:cdnom:233318,Drassyllus,coherent_random
species:cdnom:1753,Zora,species:cdnom:1756,Zora,coherent_random
species:cdnom:233639,Maso,NA,NA,no_candidate
species:cdnom:2092,Heliophanus,species:cdnom:2095,Heliophanus,coherent_random
species:cdnom:778564,Inermocoelotes,NA,NA,no_candidate
species:cdnom:721833,Mermessus,species:cdnom:458766,Mermessus,coherent_random
species:cdnom:1166,Segestria,NA,NA,no_candidate
species:cdnom:303987,Pardosa,species:cdnom:233879,Pardosa,coherent_random
species:cdnom:233349,Micaria,species:cdnom:233350,Micaria,coherent_random
species:cdnom:458721,Pardosa,species:cdnom:233879,Pardosa,coherent_random
species:cdnom:1928,Pardosa,species:cdnom:233880,Pardosa,coherent_random
species:cdnom:233360,Nomisia,NA,NA,no_candidate
species:cdnom:1478,Ostearius,NA,NA,no_candidate
species:cdnom:1235,Zodarion,species:cdnom:1237,Zodarion,coherent_random
species:cdnom:302801,Callilepis,NA,NA,no_candidate
species:cdnom:806880,Agyneta,species:cdnom:806890,Agyneta,coherent_random
species:cdnom:2095,Heliophanus,species:cdnom:2092,Heliophanus,coherent_random
species:cdnom:2051,Saitis,NA,NA,no_candidate
species:cdnom:233953,Thanatus,species:cdnom:457386,Thanatus,coherent_random
species:cdnom:928332,Psammitis,NA,NA,no_candidate
species:cdnom:234205,Zodarion,species:cdnom:1237,Zodarion,coherent_random
species:cdnom:233389,Zelotes,species:cdnom:1205,Zelotes,coherent_random
species:cdnom:233533,Diplocephalus,species:cdnom:233524,Diplocephalus,coherent_random
species:cdnom:1873,Hahnia,species:cdnom:1872,Hahnia,coherent_random
species:cdnom:233505,Ceratinella,species:cdnom:1400,Ceratinella,coherent_random
species:cdnom:233833,Walckenaeria,species:cdnom:233831,Walckenaeria,coherent_random
species:cdnom:233868,Alopecosa,species:cdnom:1894,Alopecosa,coherent_random
species:cdnom:457299,Mecopisthes,NA,NA,no_candidate
species:cdnom:233502,Centromerus,species:cdnom:1378,Centromerus,coherent_random
species:cdnom:233633,Macrargus,NA,NA,no_candidate
species:cdnom:806878,Agyneta,species:cdnom:806888,Agyneta,coherent_random
