PAYS;REGION;DEPARTEMENT;CD_DEPT;CD_INSEE;NOM_LOCALITE;LIEU-DIT;PROJET;ORGANISME;OBSERVATEUR;CD_STATION;NOM_STATION;ID_ECHANTILLON;X (Longitude);Y (Latitude);ALTITUDE;DATE;DATE_FIN;HABITAT;MICROHABITAT;METHODE;REMARQUE_STATION;CLASSE;ORDRE;FAMILLE;CD_NOM;RANG;LB_NOM;NOM_VALIDE;BOITE;CD_COLLECTION;NOM_CITE;Stade;ABONDANCE_TOTALE;LRN;REMARQUE_INDIVIDU;A VERIFIER;DETERMINATEUR;LEG;01/09/2025;ENVOI_CARDOBS;MASSE;Nom_Saisie
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM3;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Insecta;Diptera;0;184803;OR;Diptera;Diptera Linnaeus, 1758;;TR_NHEN-8042;diptera;larva;1;;;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM3;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Arachnida;Mesostigmata;0;184274;OR;Mesostigmata;Mesostigmata Canestrini, 1891;;TR_NHEN-8043;mesostigmata;;14;;;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM4;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Entognatha;Collembola;0;184571;OR;Collembola;Collembola Lubbock, 1870;;TR_NHEN-8044;collembola;;13;;Déter 12 (-1);;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM4;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Insecta;Hemiptera;Aphididae;185101;FM;Aphididae;Aphididae Latreille, 1802;;TR_NHEN-8045;aphididae;;3;;;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM4;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Insecta;Thysanoptera;0;185540;OR;Thysanoptera;Thysanoptera Haliday, 1836;;TR_NHEN-8046;thysanoptera;;2;;;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM4;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Arachnida;Araneae;Linyphiidae;184366;FM;Linyphiidae;Linyphiidae Blackwall, 1859;;TR_NHEN-8047;Linyphiidae;juvénile;1;;;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM4;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Insecta;Diptera;Ceratopogonidae;184925;FM;Ceratopogonidae;Ceratopogonidae Newman, 1834;;TR_NHEN-8048;ceratopogonidae;larva;1;;;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM4;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Arachnida;Mesostigmata;0;184274;OR;Mesostigmata;Mesostigmata Canestrini, 1891;;TR_NHEN-8049;mesostigmata;;16;;;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM4;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Arachnida;Sarcoptiformes;0;542750;SBOR;Oribatida;Oribatida Dugès, 1834;;TR_NHEN-8050;oribatida;;4;;;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM5;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Entognatha;Collembola;0;184571;OR;Collembola;Collembola Lubbock, 1870;;TR_NHEN-8051;collembola;;19;;Déter 12 (-7);;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM5;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Insecta;Diptera;Ceratopogonidae;184925;FM;Ceratopogonidae;Ceratopogonidae Newman, 1834;;TR_NHEN-8052;ceratopogonidae;larva;1;;;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM5;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Insecta;Hemiptera;Aphididae;185101;FM;Aphididae;Aphididae Latreille, 1802;;TR_NHEN-8053;aphididae;;3;;;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM5;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Insecta;Coleoptera;0;184612;OR;Coleoptera;Coleoptera Linnaeus, 1758;;TR_NHEN-8054;Coleoptera;larva;1;;;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM5;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Pauropoda;0;0;185676;CL;Pauropoda;Pauropoda Lubbock, 1868;;TR_NHEN-8055;pauropoda;;1;;;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM5;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Arachnida;Mesostigmata;0;184274;OR;Mesostigmata;Mesostigmata Canestrini, 1891;;TR_NHEN-8056;mesostigmata;;33;;;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM5;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Arachnida;Sarcoptiformes;0;542750;SBOR;Oribatida;Oribatida Dugès, 1834;;TR_NHEN-8057;oribatida;;12;;;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM6;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Entognatha;Collembola;0;184571;OR;Collembola;Collembola Lubbock, 1870;;TR_NHEN-8058;collembola;;12;;Déter 9 (-3);;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM6;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Insecta;Diptera;Ceratopogonidae;184925;FM;Ceratopogonidae;Ceratopogonidae Newman, 1834;;TR_NHEN-8059;ceratopogonidae;larva;7;;;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM6;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Insecta;Coleoptera;0;184612;OR;Coleoptera;Coleoptera Linnaeus, 1758;;TR_NHEN-8060;Coleoptera;;1;;;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM6;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Pauropoda;0;0;185676;CL;Pauropoda;Pauropoda Lubbock, 1868;;TR_NHEN-8061;pauropoda;;3;;;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM6;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Insecta;Coleoptera;0;184612;OR;Coleoptera;Coleoptera Linnaeus, 1758;;TR_NHEN-8062;Coleoptera;larva;1;;;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM6;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Arachnida;Mesostigmata;0;184274;OR;Mesostigmata;Mesostigmata Canestrini, 1891;;TR_NHEN-8063;mesostigmata;;53;;;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM6;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Arachnida;Sarcoptiformes;0;542750;SBOR;Oribatida;Oribatida Dugès, 1834;;TR_NHEN-8064;oribatida;;5;;;;N.HENON;;31/03/2025;;;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83071;La Londe-les-Maures;Domaine de Tamary;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190652;RMQS_25_LONDE-LES-MAURES_2207;RMQS_25_LONDE-LES-MAURES_2207_CM1;43.16832932;6.249752146;55;19/03/2025;19/03/2025;Oliveraie;;SoilCore;;Entognatha;Collembola;0;184571;OR;Collembola;Collembola Lubbock, 1870;;TR_NHEN-8065;collembola;;16;;Déter 8 (-8);;N.HENON;;02/04/2025;;;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83071;La Londe-les-Maures;Domaine de Tamary;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190652;RMQS_25_LONDE-LES-MAURES_2207;RMQS_25_LONDE-LES-MAURES_2207_CM1;43.16832932;6.249752146;55;19/03/2025;19/03/2025;Oliveraie;;SoilCore;;Insecta;Coleoptera;Curculionidae;184685;FM;Curculionidae;Curculionidae Latreille, 1802;;TR_NHEN-8066;curculionidae;;1;;;;N.HENON;;02/04/2025;;;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83071;La Londe-les-Maures;Domaine de Tamary;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190652;RMQS_25_LONDE-LES-MAURES_2207;RMQS_25_LONDE-LES-MAURES_2207_CM1;43.16832932;6.249752146;55;19/03/2025;19/03/2025;Oliveraie;;SoilCore;;Arachnida;Mesostigmata;0;184274;OR;Mesostigmata;Mesostigmata Canestrini, 1891;;TR_NHEN-8067;mesostigmata;;59;;;;N.HENON;;02/04/2025;;;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83071;La Londe-les-Maures;Domaine de Tamary;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190652;RMQS_25_LONDE-LES-MAURES_2207;RMQS_25_LONDE-LES-MAURES_2207_CM1;43.16832932;6.249752146;55;19/03/2025;19/03/2025;Oliveraie;;SoilCore;;Arachnida;Sarcoptiformes;0;542750;SBOR;Oribatida;Oribatida Dugès, 1834;;TR_NHEN-8068;oribatida;;1;;;;N.HENON;;02/04/2025;;;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83071;La Londe-les-Maures;Domaine de Tamary;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190652;RMQS_25_LONDE-LES-MAURES_2207;RMQS_25_LONDE-LES-MAURES_2207_CM2;43.16832932;6.249752146;55;19/03/2025;19/03/2025;Oliveraie;;SoilCore;;Insecta;Hymenoptera;Formicidae;198324;GN;Tetramorium;Tetramorium Mayr, 1855;;TR_NHEN-8069;tetramorium;;340;;;;N.HENON;;02/04/2025;;;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83071;La Londe-les-Maures;Domaine de Tamary;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190652;RMQS_25_LONDE-LES-MAURES_2207;RMQS_25_LONDE-LES-MAURES_2207_CM2;43.16832932;6.249752146;55;19/03/2025;19/03/2025;Oliveraie;;SoilCore;;Entognatha;Collembola;0;184571;OR;Collembola;Collembola Lubbock, 1870;;TR_NHEN-8070;collembola;;9;;Déter 10 (+1);;N.HENON;;02/04/2025;;;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83071;La Londe-les-Maures;Domaine de Tamary;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190652;RMQS_25_LONDE-LES-MAURES_2207;RMQS_25_LONDE-LES-MAURES_2207_CM2;43.16832932;6.249752146;55;19/03/2025;19/03/2025;Oliveraie;;SoilCore;;Insecta;Hemiptera;Aphididae;185101;FM;Aphididae;Aphididae Latreille, 1802;;TR_NHEN-8071;aphididae;;1;;;;N.HENON;;02/04/2025;;;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83071;La Londe-les-Maures;Domaine de Tamary;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190652;RMQS_25_LONDE-LES-MAURES_2207;RMQS_25_LONDE-LES-MAURES_2207_CM2;43.16832932;6.249752146;55;19/03/2025;19/03/2025;Oliveraie;;SoilCore;;Arachnida;Mesostigmata;0;184274;OR;Mesostigmata;Mesostigmata Canestrini, 1891;;TR_NHEN-8072;mesostigmata;;37;;;;N.HENON;;02/04/2025;;;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83071;La Londe-les-Maures;Domaine de Tamary;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190652;RMQS_25_LONDE-LES-MAURES_2207;RMQS_25_LONDE-LES-MAURES_2207_CM2;43.16832932;6.249752146;55;19/03/2025;19/03/2025;Oliveraie;;SoilCore;;Arachnida;Sarcoptiformes;0;542750;SBOR;Oribatida;Oribatida Dugès, 1834;;TR_NHEN-8073;oribatida;;11;;;;N.HENON;;02/04/2025;;;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83071;La Londe-les-Maures;Domaine de Tamary;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190652;RMQS_25_LONDE-LES-MAURES_2207;RMQS_25_LONDE-LES-MAURES_2207_CM3;43.16832932;6.249752146;55;19/03/2025;19/03/2025;Oliveraie;;SoilCore;;Entognatha;Collembola;0;184571;OR;Collembola;Collembola Lubbock, 1870;;TR_NHEN-8074;collembola;;94;;Déter 81 (-13);;N.HENON;;02/04/2025;;;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83071;La Londe-les-Maures;Domaine de Tamary;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190652;RMQS_25_LONDE-LES-MAURES_2207;RMQS_25_LONDE-LES-MAURES_2207_CM3;43.16832932;6.249752146;55;19/03/2025;19/03/2025;Oliveraie;;SoilCore;;Insecta;Coleoptera;0;184612;OR;Coleoptera;Coleoptera Linnaeus, 1758;;TR_NHEN-8075;Coleoptera;larva;1;;;;N.HENON;;02/04/2025;;;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83071;La Londe-les-Maures;Domaine de Tamary;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190652;RMQS_25_LONDE-LES-MAURES_2207;RMQS_25_LONDE-LES-MAURES_2207_CM3;43.16832932;6.249752146;55;19/03/2025;19/03/2025;Oliveraie;;SoilCore;;Arachnida;Mesostigmata;0;184274;OR;Mesostigmata;Mesostigmata Canestrini, 1891;;TR_NHEN-8076;mesostigmata;;66;;;;N.HENON;;02/04/2025;;;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83071;La Londe-les-Maures;Domaine de Tamary;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190652;RMQS_25_LONDE-LES-MAURES_2207;RMQS_25_LONDE-LES-MAURES_2207_CM3;43.16832932;6.249752146;55;19/03/2025;19/03/2025;Oliveraie;;SoilCore;;Arachnida;Sarcoptiformes;0;542750;SBOR;Oribatida;Oribatida Dugès, 1834;;TR_NHEN-8077;oribatida;;2;;;;N.HENON;;02/04/2025;;;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83071;La Londe-les-Maures;Domaine de Tamary;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190652;RMQS_25_LONDE-LES-MAURES_2207;RMQS_25_LONDE-LES-MAURES_2207_CM4;43.16832932;6.249752146;55;19/03/2025;19/03/2025;Oliveraie;;SoilCore;;Insecta;Coleoptera;Curculionidae;184685;FM;Curculionidae;Curculionidae Latreille, 1802;;TR_NHEN-8078;curculionidae;;2;;;;N.HENON;;02/04/2025;;;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83071;La Londe-les-Maures;Domaine de Tamary;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190652;RMQS_25_LONDE-LES-MAURES_2207;RMQS_25_LONDE-LES-MAURES_2207_CM4;43.16832932;6.249752146;55;19/03/2025;19/03/2025;Oliveraie;;SoilCore;;Insecta;Coleoptera;Tenebrionidae;184714;FM;Tenebrionidae;Tenebrionidae Latreille, 1802;;TR_NHEN-8079;Tenebrionidae;;1;;;;N.HENON;;02/04/2025;;;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83071;La Londe-les-Maures;Domaine de Tamary;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190652;RMQS_25_LONDE-LES-MAURES_2207;RMQS_25_LONDE-LES-MAURES_2207_CM4;43.16832932;6.249752146;55;19/03/2025;19/03/2025;Oliveraie;;SoilCore;;Entognatha;Collembola;0;184571;OR;Collembola;Collembola Lubbock, 1870;;TR_NHEN-8080;collembola;;8;;Déter 9 (+1);;N.HENON;;02/04/2025;;;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83071;La Londe-les-Maures;Domaine de Tamary;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190652;RMQS_25_LONDE-LES-MAURES_2207;RMQS_25_LONDE-LES-MAURES_2207_CM4;43.16832932;6.249752146;55;19/03/2025;19/03/2025;Oliveraie;;SoilCore;;Insecta;Psocodea;0;778583;OR;Psocodea;Psocodea Hennig, 1966;;TR_NHEN-8081;psocodea;;1;;;;N.HENON;;02/04/2025;;;
