PAYS;REGION;DEPARTEMENT;CD_DEPT;CD_INSEE;NOM_LOCALITE;LIEU-DIT;PROJET;ORGANISME;OBSERVATEUR;CD_STATION;NOM_STATION;ID_ECHANTILLON;X (Longitude);Y (Latitude);ALTITUDE;DATE;DATE_FIN;HABITAT;MICROHABITAT;METHODE;FACTEUR_DILUTION;CLASSE;ORDRE;FAMILLE;CD_NOM;RANG;LB_NOM;NOM_VALIDE;BOITE;CD_COLLECTION;NOM_CITE;Stade;ABONDANCE_TOTALE;LRN;REMARQUE_INDIVIDU;A VERIFIER;DETERMINATEUR;LEG;DATE_DETERMINATION;ENVOI_CARDOBS;MASSE;Nom_Saisie
#REF!;#REF!;#REF!;#REF!;#REF!;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_DVAC;43.37940364;3.306473486;36;15/04/2025;15/04/2025;Vignes;;DVAC100;4;Entognatha;Collembola;;184571;;Collembola;Collembola Lubbock, 1870;;TR_LDEC-2857;collembola;;81;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_DVAC;43.37940364;3.306473486;36;15/04/2025;15/04/2025;Vignes;;DVAC100;4;Insecta;Hymenoptera;;185126;;Hymenoptera;Hymenoptera Linnaeus, 1758;;TR_LDEC-2858;hymenoptera;;7;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_DVAC;43.37940364;3.306473486;36;15/04/2025;15/04/2025;Vignes;;DVAC100;4;Arachnida;Araneae;;184348;;Araneae;Araneae Clerck, 1758;;TR_LDEC-2859;araneae;;11;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_DVAC;43.37940364;3.306473486;36;15/04/2025;15/04/2025;Vignes;;DVAC100;4;Insecta;Coleoptera;;184612;;Coleoptera;Coleoptera Linnaeus, 1758;;TR_LDEC-2860;coleoptera;;1;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_DVAC;43.37940364;3.306473486;36;15/04/2025;15/04/2025;Vignes;;DVAC100;4;Insecta;Diptera;;18483;;Diptera;Diptera Linnaeus, 1758;;TR_LDEC-2861;diptera;;32;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_DVAC;43.37940364;3.306473486;36;15/04/2025;15/04/2025;Vignes;;DVAC100;4;Insecta;Hemiptera;;18498;;Hemiptera;Hemiptera Linnaeus, 1758;;TR_LDEC-2862;hemiptera;;33;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_DVAC;43.37940364;3.306473486;36;15/04/2025;15/04/2025;Vignes;;DVAC100;4;Insecta;Thysanoptera;Thripidae;185546;;Thripidae;Thripidae Stephens, 1829;;TR_LDEC-2863;thripidae;;1;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_DVAC;43.37940364;3.306473486;36;15/04/2025;15/04/2025;Vignes;;DVAC100;4;Gastropoda;Stylommatophora;;186378;;Stylommatophora;Stylommatophora A. Schmidt, 1855;;TR_LDEC-2864;stylommatophora;;3;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Antheny;;RMQS_2025;;;;RMQS_25_ANTHENY_112;RMQS_25_ANTHENY_112_DVAC;;;;;;;;DVAC100;1;Entognatha;Collembola;;184571;;Collembola;Collembola Lubbock, 1870;;TR_LDEC-2865;collembola;;2;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Antheny;;RMQS_2025;;;;RMQS_25_ANTHENY_112;RMQS_25_ANTHENY_112_DVAC;;;;;;;;DVAC100;1;Insecta;Hymenoptera;;185126;;Hymenoptera;Hymenoptera Linnaeus, 1758;;TR_LDEC-2866;hymenoptera;;3;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Antheny;;RMQS_2025;;;;RMQS_25_ANTHENY_112;RMQS_25_ANTHENY_112_DVAC;;;;;;;;DVAC100;1;Insecta;Diptera;;18483;;Diptera;Diptera Linnaeus, 1758;;TR_LDEC-2867;diptera;;6;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Antheny;;RMQS_2025;;;;RMQS_25_ANTHENY_112;RMQS_25_ANTHENY_112_DVAC;;;;;;;;DVAC100;1;Insecta;Hemiptera;;18498;;Hemiptera;Hemiptera Linnaeus, 1758;;TR_LDEC-2868;hemiptera;;41;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Antheny;;RMQS_2025;;;;RMQS_25_ANTHENY_112;RMQS_25_ANTHENY_112_DVAC;;;;;;;;DVAC100;1;Arachnida;;;183884;;Acari;Acari Leach, 1817;;TR_LDEC-2869;Acari;;1;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Antheny;;RMQS_2025;;;;RMQS_25_ANTHENY_112;RMQS_25_ANTHENY_112_DVAC;;;;;;;;DVAC100;1;Insecta;Thysanoptera;Thripidae;185546;;Thripidae;Thripidae Stephens, 1829;;TR_LDEC-2870;thripidae;larva;1;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Espagnac;;RMQS_2025;ECO&SOLS;C.VERSAVEL, H.SUAREZ, S.PRUNOT;;RMQS_25_ESPAGNAC_1584;RMQS_25_ESPAGNAC_1584_DVAC;45.25098014;1.916889536;550;06/05/2025;06/05/2025;Prairie permanente;;DVAC100;4;Entognatha;Collembola;;184571;;Collembola;Collembola Lubbock, 1870;;TR_LDEC-2871;collembola;;72;;;;L.DECAENS;;23/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Espagnac;;RMQS_2025;ECO&SOLS;C.VERSAVEL, H.SUAREZ, S.PRUNOT;;RMQS_25_ESPAGNAC_1584;RMQS_25_ESPAGNAC_1584_DVAC;45.25098014;1.916889536;550;06/05/2025;06/05/2025;Prairie permanente;;DVAC100;4;Insecta;Hymenoptera;;185126;;Hymenoptera;Hymenoptera Linnaeus, 1758;;TR_LDEC-2872;hymenoptera;;5;;;;L.DECAENS;;23/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Espagnac;;RMQS_2025;ECO&SOLS;C.VERSAVEL, H.SUAREZ, S.PRUNOT;;RMQS_25_ESPAGNAC_1584;RMQS_25_ESPAGNAC_1584_DVAC;45.25098014;1.916889536;550;06/05/2025;06/05/2025;Prairie permanente;;DVAC100;4;;;;183751;;Annelida;Annelida Lamarck, 1809;;TR_LDEC-2873;annelida;;1;;;;L.DECAENS;;23/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Espagnac;;RMQS_2025;ECO&SOLS;C.VERSAVEL, H.SUAREZ, S.PRUNOT;;RMQS_25_ESPAGNAC_1584;RMQS_25_ESPAGNAC_1584_DVAC;45.25098014;1.916889536;550;06/05/2025;06/05/2025;Prairie permanente;;DVAC100;4;Arachnida;Araneae;;184348;;Araneae;Araneae Clerck, 1758;;TR_LDEC-2874;araneae;;3;;;;L.DECAENS;;23/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Espagnac;;RMQS_2025;ECO&SOLS;C.VERSAVEL, H.SUAREZ, S.PRUNOT;;RMQS_25_ESPAGNAC_1584;RMQS_25_ESPAGNAC_1584_DVAC;45.25098014;1.916889536;550;06/05/2025;06/05/2025;Prairie permanente;;DVAC100;4;Insecta;Hymenoptera;Formicidae;185188;;Formicidae;Formicidae Latreille, 1809;;TR_LDEC-2875;formicidae;;1;;;;L.DECAENS;;23/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Espagnac;;RMQS_2025;ECO&SOLS;C.VERSAVEL, H.SUAREZ, S.PRUNOT;;RMQS_25_ESPAGNAC_1584;RMQS_25_ESPAGNAC_1584_DVAC;45.25098014;1.916889536;550;06/05/2025;06/05/2025;Prairie permanente;;DVAC100;4;Insecta;Diptera;;18483;;Diptera;Diptera Linnaeus, 1758;;TR_LDEC-2876;diptera;;10;;;;L.DECAENS;;23/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Espagnac;;RMQS_2025;ECO&SOLS;C.VERSAVEL, H.SUAREZ, S.PRUNOT;;RMQS_25_ESPAGNAC_1584;RMQS_25_ESPAGNAC_1584_DVAC;45.25098014;1.916889536;550;06/05/2025;06/05/2025;Prairie permanente;;DVAC100;4;Insecta;Hemiptera;;18498;;Hemiptera;Hemiptera Linnaeus, 1758;;TR_LDEC-2877;hemiptera;;22;;;;L.DECAENS;;23/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Espagnac;;RMQS_2025;ECO&SOLS;C.VERSAVEL, H.SUAREZ, S.PRUNOT;;RMQS_25_ESPAGNAC_1584;RMQS_25_ESPAGNAC_1584_DVAC;45.25098014;1.916889536;550;06/05/2025;06/05/2025;Prairie permanente;;DVAC100;4;Arachnida;;;183884;;Acari;Acari Leach, 1817;;TR_LDEC-2878;Acari;;22;;;;L.DECAENS;;23/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Espagnac;;RMQS_2025;ECO&SOLS;C.VERSAVEL, H.SUAREZ, S.PRUNOT;;RMQS_25_ESPAGNAC_1584;RMQS_25_ESPAGNAC_1584_DVAC;45.25098014;1.916889536;550;06/05/2025;06/05/2025;Prairie permanente;;DVAC100;4;Insecta;Thysanoptera;Thripidae;185546;;Thripidae;Thripidae Stephens, 1829;;TR_LDEC-2879;thripidae;larva;1;;;;L.DECAENS;;23/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Espagnac;;RMQS_2025;ECO&SOLS;C.VERSAVEL, H.SUAREZ, S.PRUNOT;;RMQS_25_ESPAGNAC_1584;RMQS_25_ESPAGNAC_1584_DVAC;45.25098014;1.916889536;550;06/05/2025;06/05/2025;Prairie permanente;;DVAC100;4;Gastropoda;;;186338;;Gastropoda;Gastropoda Cuvier, 1795;;TR_LDEC-2880;gastropoda;;5;;;;L.DECAENS;;23/01/2026;;;
France;BASSE-NORMANDIE;ORNE;61;61486;Tinchebray-Bocage;;RMQS_2025;UMR SAS;L.LERNER, L. LE CALLONEC, L.DELOURME;;RMQS_25_BEAUCHENE_438;RMQS_25_BEAUCHENE_438_DVAC;48.66785149; -0.71855261;200;14/04/2025;14/04/2025;Prairie permanente;;DVAC100;16;Entognatha;Collembola;;184571;;Collembola;Collembola Lubbock, 1870;;TR_LDEC-2881;collembola;;199;;;;L.DECAENS;;26/01/2026;;;
France;BASSE-NORMANDIE;ORNE;61;61486;Tinchebray-Bocage;;RMQS_2025;UMR SAS;L.LERNER, L. LE CALLONEC, L.DELOURME;;RMQS_25_BEAUCHENE_438;RMQS_25_BEAUCHENE_438_DVAC;48.66785149; -0.71855261;200;14/04/2025;14/04/2025;Prairie permanente;;DVAC100;16;Insecta;Diptera;;18483;;Diptera;Diptera Linnaeus, 1758;;TR_LDEC-2882;diptera;;17;;;;L.DECAENS;;26/01/2026;;;
France;BASSE-NORMANDIE;ORNE;61;61486;Tinchebray-Bocage;;RMQS_2025;UMR SAS;L.LERNER, L. LE CALLONEC, L.DELOURME;;RMQS_25_BEAUCHENE_438;RMQS_25_BEAUCHENE_438_DVAC;48.66785149; -0.71855261;200;14/04/2025;14/04/2025;Prairie permanente;;DVAC100;16;Insecta;Hemiptera;;18498;;Hemiptera;Hemiptera Linnaeus, 1758;;TR_LDEC-2883;hemiptera;;3;;;;L.DECAENS;;26/01/2026;;;
France;BASSE-NORMANDIE;ORNE;61;61486;Tinchebray-Bocage;;RMQS_2025;UMR SAS;L.LERNER, L. LE CALLONEC, L.DELOURME;;RMQS_25_BEAUCHENE_438;RMQS_25_BEAUCHENE_438_DVAC;48.66785149; -0.71855261;200;14/04/2025;14/04/2025;Prairie permanente;;DVAC100;16;Insecta;Hemiptera;;18498;;Hemiptera;Hemiptera Linnaeus, 1758;;TR_LDEC-2884;hemiptera;larva;2;;;;L.DECAENS;;26/01/2026;;;
France;BASSE-NORMANDIE;ORNE;61;61486;Tinchebray-Bocage;;RMQS_2025;UMR SAS;L.LERNER, L. LE CALLONEC, L.DELOURME;;RMQS_25_BEAUCHENE_438;RMQS_25_BEAUCHENE_438_DVAC;48.66785149; -0.71855261;200;14/04/2025;14/04/2025;Prairie permanente;;DVAC100;16;Arachnida;;;183884;;Acari;Acari Leach, 1817;;TR_LDEC-2885;Acari;;2;;;;L.DECAENS;;26/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Ebersheim;;RMQS_2025;EODD;Amal B., Paolina FG., Tom K.;;RMQS_25_EBERSHEIM_594;RMQS_25_EBERSHEIM_594_DVAC;48.3047154;7.5113641;163;16/06/2025;16/06/2025;Monoculture (labour);;DVAC100;1;Entognatha;Collembola;;184571;;Collembola;Collembola Lubbock, 1870;;TR_LDEC-2886;collembola;;3;;;;L.DECAENS;;26/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Ebersheim;;RMQS_2025;EODD;Amal B., Paolina FG., Tom K.;;RMQS_25_EBERSHEIM_594;RMQS_25_EBERSHEIM_594_DVAC;48.3047154;7.5113641;163;16/06/2025;16/06/2025;Monoculture (labour);;DVAC100;1;Insecta;Diptera;;18483;;Diptera;Diptera Linnaeus, 1758;;TR_LDEC-2887;diptera;;1;;;;L.DECAENS;;26/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Ebersheim;;RMQS_2025;EODD;Amal B., Paolina FG., Tom K.;;RMQS_25_EBERSHEIM_594;RMQS_25_EBERSHEIM_594_DVAC;48.3047154;7.5113641;163;16/06/2025;16/06/2025;Monoculture (labour);;DVAC100;1;Insecta;Hemiptera;;18498;;Hemiptera;Hemiptera Linnaeus, 1758;;TR_LDEC-2888;hemiptera;;2;;;;L.DECAENS;;26/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Ebersheim;;RMQS_2025;EODD;Amal B., Paolina FG., Tom K.;;RMQS_25_EBERSHEIM_594;RMQS_25_EBERSHEIM_594_DVAC;48.3047154;7.5113641;163;16/06/2025;16/06/2025;Monoculture (labour);;DVAC100;1;Arachnida;;;183884;;Acari;Acari Leach, 1817;;TR_LDEC-2889;Acari;;2;;;;L.DECAENS;;26/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Le Horps;;RMQS_2025;UMR SAS;L.LERNER, L. LE CALLONEC, L.DELOURME;2190599;RMQS_25_HORPS_557;RMQS_25_HORPS_557_DVAC;48.38486088;-0.483534692;275;28/04/2025;28/04/2025;Monoculture (blé);;DVAC100;1;Entognatha;Collembola;;184571;;Collembola;Collembola Lubbock, 1870;;TR_LDEC-2890;collembola;;33;;;;L.DECAENS;;27/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Le Horps;;RMQS_2025;UMR SAS;L.LERNER, L. LE CALLONEC, L.DELOURME;2190599;RMQS_25_HORPS_557;RMQS_25_HORPS_557_DVAC;48.38486088;-0.483534692;275;28/04/2025;28/04/2025;Monoculture (blé);;DVAC100;1;Insecta;Hymenoptera;;185126;;Hymenoptera;Hymenoptera Linnaeus, 1758;;TR_LDEC-2891;hymenoptera;;5;;;;L.DECAENS;;27/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Le Horps;;RMQS_2025;UMR SAS;L.LERNER, L. LE CALLONEC, L.DELOURME;2190599;RMQS_25_HORPS_557;RMQS_25_HORPS_557_DVAC;48.38486088;-0.483534692;275;28/04/2025;28/04/2025;Monoculture (blé);;DVAC100;1;Arachnida;Araneae;;184348;;Araneae;Araneae Clerck, 1758;;TR_LDEC-2892;araneae;;4;;;;L.DECAENS;;27/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Le Horps;;RMQS_2025;UMR SAS;L.LERNER, L. LE CALLONEC, L.DELOURME;2190599;RMQS_25_HORPS_557;RMQS_25_HORPS_557_DVAC;48.38486088;-0.483534692;275;28/04/2025;28/04/2025;Monoculture (blé);;DVAC100;1;Insecta;Coleoptera;;184612;;Coleoptera;Coleoptera Linnaeus, 1758;;TR_LDEC-2893;coleoptera;;2;;;;L.DECAENS;;27/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Le Horps;;RMQS_2025;UMR SAS;L.LERNER, L. LE CALLONEC, L.DELOURME;2190599;RMQS_25_HORPS_557;RMQS_25_HORPS_557_DVAC;48.38486088;-0.483534692;275;28/04/2025;28/04/2025;Monoculture (blé);;DVAC100;1;Insecta;Coleoptera;Staphylinidae;184776;;Staphylinidae;Staphylinidae Latreille, 1802;;TR_LDEC-2894;staphylinidae;;2;;;;L.DECAENS;;27/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Le Horps;;RMQS_2025;UMR SAS;L.LERNER, L. LE CALLONEC, L.DELOURME;2190599;RMQS_25_HORPS_557;RMQS_25_HORPS_557_DVAC;48.38486088;-0.483534692;275;28/04/2025;28/04/2025;Monoculture (blé);;DVAC100;1;Insecta;Diptera;;18483;;Diptera;Diptera Linnaeus, 1758;;TR_LDEC-2895;diptera;;66;;;;L.DECAENS;;27/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Le Horps;;RMQS_2025;UMR SAS;L.LERNER, L. LE CALLONEC, L.DELOURME;2190599;RMQS_25_HORPS_557;RMQS_25_HORPS_557_DVAC;48.38486088;-0.483534692;275;28/04/2025;28/04/2025;Monoculture (blé);;DVAC100;1;Insecta;Hemiptera;;18498;;Hemiptera;Hemiptera Linnaeus, 1758;;TR_LDEC-2896;hemiptera;;8;;;;L.DECAENS;;27/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Le Horps;;RMQS_2025;UMR SAS;L.LERNER, L. LE CALLONEC, L.DELOURME;2190599;RMQS_25_HORPS_557;RMQS_25_HORPS_557_DVAC;48.38486088;-0.483534692;275;28/04/2025;28/04/2025;Monoculture (blé);;DVAC100;1;Arachnida;;;183884;;Acari;Acari Leach, 1817;;TR_LDEC-2897;Acari;;14;;;;L.DECAENS;;27/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Le Horps;;RMQS_2025;UMR SAS;L.LERNER, L. LE CALLONEC, L.DELOURME;2190599;RMQS_25_HORPS_557;RMQS_25_HORPS_557_DVAC;48.38486088;-0.483534692;275;28/04/2025;28/04/2025;Monoculture (blé);;DVAC100;1;Insecta;Coleoptera;;184612;;Coleoptera;Coleoptera Linnaeus, 1758;;TR_LDEC-2898;coleoptera;larva;6;;;;L.DECAENS;;27/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Pauillac;Chenal du Gaet;RMQS_2025;UMR SAS;L.LERNER, L. LE CALLONEC, L.DELOURME;;RMQS_25_PAUILLAC_1571;RMQS_25_PAUILLAC_1571_DVAC;45.204736; -0.756250999;2;06/05/2025;06/05/2025;Prairie de pâture (bovins);;DVAC100;32;Entognatha;Collembola;;184571;;Collembola;Collembola Lubbock, 1870;;TR_LDEC-2899;collembola;;123;;;;L.DECAENS;;27/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Pauillac;Chenal du Gaet;RMQS_2025;UMR SAS;L.LERNER, L. LE CALLONEC, L.DELOURME;;RMQS_25_PAUILLAC_1571;RMQS_25_PAUILLAC_1571_DVAC;45.204736; -0.756250999;2;06/05/2025;06/05/2025;Prairie de pâture (bovins);;DVAC100;32;Insecta;Hymenoptera;;185126;;Hymenoptera;Hymenoptera Linnaeus, 1758;;TR_LDEC-2900;hymenoptera;;3;;;;L.DECAENS;;27/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Pauillac;Chenal du Gaet;RMQS_2025;UMR SAS;L.LERNER, L. LE CALLONEC, L.DELOURME;;RMQS_25_PAUILLAC_1571;RMQS_25_PAUILLAC_1571_DVAC;45.204736; -0.756250999;2;06/05/2025;06/05/2025;Prairie de pâture (bovins);;DVAC100;32;Arachnida;Araneae;;184348;;Araneae;Araneae Clerck, 1758;;TR_LDEC-2901;araneae;;4;;;;L.DECAENS;;27/01/2026;;;
