species,n_sites,total_abundance,status,model_status,rank
Carabus violaceus purpurascens,5,13,skip,Excluded,57
Harpalus serripes,5,12,skip,Excluded,58
Molops piceus,5,8,skip,Excluded,59
Poecilus kugelanni,5,44,skip,Excluded,60
Syntomus truncatellus,5,9,skip,Excluded,61
Carabus auronitens,4,25,skip,Excluded,62
Carabus granulatus,4,9,skip,Excluded,63
Harpalus cupreus,4,25,skip,Excluded,64
Microlestes maurus,4,6,skip,Excluded,65
Pterostichus anthracinus,4,22,skip,Excluded,66
Anisodactylus signatus,3,4,skip,Excluded,67
Bembidion callosum,3,3,skip,Excluded,68
Bembidion tetracolum,3,8,skip,Excluded,69
Carabus cancellatus,3,19,skip,Excluded,70
Cicindela campestris,3,35,skip,Excluded,71
Demetrias atricapillus,3,16,skip,Excluded,72
Harpalus honestus,3,7,skip,Excluded,73
Harpalus oblitus,3,3,skip,Excluded,74
Harpalus rufipalpis,3,29,skip,Excluded,75
Leistus rufomarginatus,3,4,skip,Excluded,76
Licinus punctatulus,3,4,skip,Excluded,77
Ophonus ardosiacus,3,10,skip,Excluded,78
Panagaeus bipustulatus,3,3,skip,Excluded,79
Paradromius linearis,3,4,skip,Excluded,80
Platynus assimilis,3,32,skip,Excluded,81
Poecilus purpurascens,3,26,skip,Excluded,82
Pterostichus niger,3,5,skip,Excluded,83
Pterostichus oblongopunctatus,3,3,skip,Excluded,84
Abax parallelus,2,12,skip,Excluded,85
Acupalpus dubius,2,2,skip,Excluded,86
Acupalpus parvulus,2,2,skip,Excluded,87
Agonum nigrum,2,2,skip,Excluded,88
Amara anthobia,2,4,skip,Excluded,89
Amara fulvipes,2,32,skip,Excluded,90
Amara lucida,2,2,skip,Excluded,91
Amara nitida,2,5,skip,Excluded,92
Amara ovata,2,86,skip,Excluded,93
Amara plebeja,2,9,skip,Excluded,94
Asaphidion curtum,2,11,skip,Excluded,95
Badister sodalis,2,6,skip,Excluded,96
Bembidion guttula,2,2,skip,Excluded,97
Calathus melanocephalus,2,2,skip,Excluded,98
Carabus convexus,2,2,skip,Excluded,99
Carabus monilis,2,10,skip,Excluded,100
Cychrus attenuatus,2,5,skip,Excluded,101
Harpalus laevipes,2,3,skip,Excluded,102
Harpalus luteicornis,2,3,skip,Excluded,103
Harpalus pygmaeus,2,17,skip,Excluded,104
Leistus fulvibarbis,2,3,skip,Excluded,105
Microlestes luctuosus,2,2,skip,Excluded,106
Notiophilus germinyi,2,3,skip,Excluded,107
Notiophilus palustris,2,2,skip,Excluded,108
Poecilus sericeus,2,3,skip,Excluded,109
Pterostichus diligens,2,3,skip,Excluded,110
Pterostichus pumilio,2,2,skip,Excluded,111
Semiophonus signaticornis,2,3,skip,Excluded,112
Stomis pumicatus,2,3,skip,Excluded,113
Trechus obtusus,2,2,skip,Excluded,114
Acupalpus brunnipes,1,1,skip,Excluded,115
Acupalpus notatus,1,2,skip,Excluded,116
Agonum marginatum,1,7,skip,Excluded,117
Agonum viridicupreum,1,1,skip,Excluded,118
Amara kulti,1,4,skip,Excluded,119
Amara strenua,1,1,skip,Excluded,120
Amblystomus niger,1,15,skip,Excluded,121
Apotomus rufus,1,1,skip,Excluded,122
Asaphidion flavipes,1,1,skip,Excluded,123
Badister lacertosus,1,1,skip,Excluded,124
Bembidion deletum,1,3,skip,Excluded,125
Brachinus elegans,1,1,skip,Excluded,126
Bradycellus harpalinus,1,1,skip,Excluded,127
Calathus rotundicollis,1,8,skip,Excluded,128
Callistus lunatus,1,1,skip,Excluded,129
Carabus hispanus,1,1,skip,Excluded,130
Carabus violaceus,1,1,skip,Excluded,131
Chlaenius chrysocephalus,1,1,skip,Excluded,132
Chlaenius nigricornis,1,1,skip,Excluded,133
Chlaenius olivieri,1,2,skip,Excluded,134
Chlaenius tibialis,1,1,skip,Excluded,135
Clivina collaris,1,2,skip,Excluded,136
Cylindera germanica,1,9,skip,Excluded,137
Cymindis humeralis,1,1,skip,Excluded,138
Diachromus germanus,1,1,skip,Excluded,139
Drypta dentata,1,3,skip,Excluded,140
Dyschirius aeneus,1,1,skip,Excluded,141
Dyschirius globosus,1,2,skip,Excluded,142
Dyschirius tristis,1,1,skip,Excluded,143
Gynandromorphus etruscus,1,1,skip,Excluded,144
Harpalus,1,1,skip,Excluded,145
Harpalus atratus,1,1,skip,Excluded,146
Leistus spinibarbis,1,6,skip,Excluded,147
Licinus hoffmannseggi,1,1,skip,Excluded,148
Licinus silphoides,1,2,skip,Excluded,149
Microlestes abeillei,1,1,skip,Excluded,150
Notiophilus aestuans,1,3,skip,Excluded,151
Notiophilus aquaticus,1,3,skip,Excluded,152
Ophonus azureus,1,2,skip,Excluded,153
Ophonus cribricollis,1,11,skip,Excluded,154
Ophonus puncticeps,1,1,skip,Excluded,155
Ophonus schaubergerianus,1,1,skip,Excluded,156
Oxypselaphus obscurus,1,1,skip,Excluded,157
Pangus scaritides,1,1,skip,Excluded,158
Paranchus albipes,1,1,skip,Excluded,159
Pedius longicollis,1,2,skip,Excluded,160
Platyderus depressus,1,3,skip,Excluded,161
Poecilus lepidus,1,8,skip,Excluded,162
Poecilus lepidus gressorius,1,2,skip,Excluded,163
Polistichus connexus,1,1,skip,Excluded,164
Pterostichus cristatus,1,30,skip,Excluded,165
Pterostichus funestes,1,6,skip,Excluded,166
Pterostichus minor,1,2,skip,Excluded,167
Pterostichus nigrita,1,1,skip,Excluded,168
Synuchus vivalis,1,1,skip,Excluded,169
Tachyura parvula,1,1,skip,Excluded,170
Zabrus tenebrioides,1,1,skip,Excluded,171
