species,status,reason,n_sites_available,n_sites_detected,n_rep
Bembidion quadrimaculatum,ok,NA,77,14,6
Bembidion tetracolum,skip,n_detected_sites<7,77,3,NA
Brachinus crepitans,ok,NA,77,7,6
Brachinus elegans,skip,n_detected_sites<7,77,1,NA
Brachinus explodens,ok,NA,77,7,6
Brachinus sclopeta,ok,NA,77,9,6
Bradycellus harpalinus,skip,n_detected_sites<7,77,1,NA
Calathus fuscipes,ok,NA,77,10,6
Calathus melanocephalus,skip,n_detected_sites<7,77,2,NA
Calathus rotundicollis,skip,n_detected_sites<7,77,1,NA
Callistus lunatus,skip,n_detected_sites<7,77,1,NA
Carabus auratus,unstable,large_or_missing_se,77,10,6
Carabus auronitens,skip,n_detected_sites<7,77,4,NA
Carabus cancellatus,skip,n_detected_sites<7,77,3,NA
Carabus convexus,skip,n_detected_sites<7,77,2,NA
Carabus granulatus,skip,n_detected_sites<7,77,5,NA
Carabus hispanus,skip,n_detected_sites<7,77,1,NA
Carabus monilis,skip,n_detected_sites<7,77,2,NA
Carabus nemoralis,ok,NA,77,17,6
Carabus problematicus,skip,n_detected_sites<7,77,5,NA
Carabus violaceus,skip,n_detected_sites<7,77,1,NA
Carabus violaceus purpurascens,skip,n_detected_sites<7,77,5,NA
Chlaenius chrysocephalus,skip,n_detected_sites<7,77,1,NA
Chlaenius nigricornis,skip,n_detected_sites<7,77,1,NA
Chlaenius olivieri,skip,n_detected_sites<7,77,1,NA
Chlaenius tibialis,skip,n_detected_sites<7,77,1,NA
Cicindela campestris,skip,n_detected_sites<7,77,3,NA
Clivina collaris,skip,n_detected_sites<7,77,1,NA
Clivina fossor,ok,NA,77,8,6
Cychrus attenuatus,skip,n_detected_sites<7,77,2,NA
Cylindera germanica,skip,n_detected_sites<7,77,1,NA
Cymindis humeralis,skip,n_detected_sites<7,77,1,NA
Demetrias atricapillus,skip,n_detected_sites<7,77,3,NA
Diachromus germanus,skip,n_detected_sites<7,77,1,NA
Drypta dentata,skip,n_detected_sites<7,77,1,NA
Dyschirius aeneus,skip,n_detected_sites<7,77,1,NA
Dyschirius globosus,skip,n_detected_sites<7,77,1,NA
Dyschirius tristis,skip,n_detected_sites<7,77,1,NA
Gynandromorphus etruscus,skip,n_detected_sites<7,77,1,NA
Harpalus,skip,n_detected_sites<7,77,1,NA
Harpalus affinis,ok,NA,77,27,6
Harpalus anxius,skip,n_detected_sites<7,77,6,NA
Harpalus atratus,skip,n_detected_sites<7,77,1,NA
Harpalus cupreus,skip,n_detected_sites<7,77,4,NA
Harpalus dimidiatus,ok,NA,77,23,6
Harpalus distinguendus,ok,NA,77,24,6
Harpalus honestus,skip,n_detected_sites<7,77,3,NA
Harpalus laevipes,skip,n_detected_sites<7,77,2,NA
Harpalus latus,skip,n_detected_sites<7,77,6,NA
Harpalus luteicornis,skip,n_detected_sites<7,77,2,NA
Harpalus oblitus,skip,n_detected_sites<7,77,3,NA
Harpalus pygmaeus,skip,n_detected_sites<7,77,2,NA
Harpalus rubripes,ok,NA,77,12,6
Harpalus rufipalpis,skip,n_detected_sites<7,77,3,NA
Harpalus serripes,skip,n_detected_sites<7,77,5,NA
Harpalus tardus,ok,NA,77,10,6
Leistus fulvibarbis,skip,n_detected_sites<7,77,2,NA
Leistus rufomarginatus,skip,n_detected_sites<7,77,3,NA
Leistus spinibarbis,skip,n_detected_sites<7,77,1,NA
Licinus hoffmannseggi,skip,n_detected_sites<7,77,1,NA
Licinus punctatulus,skip,n_detected_sites<7,77,3,NA
Licinus silphoides,skip,n_detected_sites<7,77,1,NA
Loricera pilicornis,ok,NA,77,20,6
Microlestes,ok,NA,77,12,6
Microlestes abeillei,skip,n_detected_sites<7,77,1,NA
Microlestes luctuosus,skip,n_detected_sites<7,77,2,NA
Microlestes maurus,skip,n_detected_sites<7,77,4,NA
Microlestes minutulus,ok,NA,77,8,6
Molops piceus,skip,n_detected_sites<7,77,5,NA
Nebria brevicollis,ok,NA,77,21,6
Nebria salina,ok,NA,77,27,6
Notiophilus aestuans,skip,n_detected_sites<7,77,1,NA
Notiophilus aquaticus,skip,n_detected_sites<7,77,1,NA
Notiophilus biguttatus,ok,NA,77,17,6
Notiophilus germinyi,skip,n_detected_sites<7,77,2,NA
Notiophilus palustris,skip,n_detected_sites<7,77,2,NA
Notiophilus quadripunctatus,ok,NA,77,26,6
Notiophilus rufipes,ok,NA,77,8,6
Notiophilus substriatus,ok,NA,77,20,6
Ophonus ardosiacus,skip,n_detected_sites<7,77,3,NA
Ophonus azureus,skip,n_detected_sites<7,77,1,NA
Ophonus cribricollis,skip,n_detected_sites<7,77,1,NA
Ophonus puncticeps,skip,n_detected_sites<7,77,1,NA
Ophonus schaubergerianus,skip,n_detected_sites<7,77,1,NA
Oxypselaphus obscurus,skip,n_detected_sites<7,77,1,NA
Panagaeus bipustulatus,skip,n_detected_sites<7,77,3,NA
Pangus scaritides,skip,n_detected_sites<7,77,1,NA
Paradromius linearis,skip,n_detected_sites<7,77,3,NA
Paranchus albipes,skip,n_detected_sites<7,77,1,NA
Parophonus maculicornis,ok,NA,77,14,6
Pedius longicollis,skip,n_detected_sites<7,77,1,NA
Platyderus depressus,skip,n_detected_sites<7,77,1,NA
Platynus assimilis,skip,n_detected_sites<7,77,3,NA
Poecilus cupreus,ok,NA,77,40,6
Poecilus kugelanni,skip,n_detected_sites<7,77,5,NA
Poecilus lepidus,skip,n_detected_sites<7,77,1,NA
Poecilus lepidus gressorius,skip,n_detected_sites<7,77,1,NA
Poecilus purpurascens,skip,n_detected_sites<7,77,3,NA
Poecilus sericeus,skip,n_detected_sites<7,77,2,NA
Poecilus versicolor,ok,NA,77,13,6
Polistichus connexus,skip,n_detected_sites<7,77,1,NA
Pseudoophonus rufipes,ok,NA,77,11,6
Pterostichus anthracinus,skip,n_detected_sites<7,77,4,NA
Pterostichus cristatus,skip,n_detected_sites<7,77,1,NA
Pterostichus diligens,skip,n_detected_sites<7,77,2,NA
Pterostichus funestes,skip,n_detected_sites<7,77,1,NA
Pterostichus madidus,ok,NA,77,16,6
Pterostichus melanarius,ok,NA,77,9,6
Pterostichus minor,skip,n_detected_sites<7,77,1,NA
Pterostichus multipunctatus,skip,n_detected_sites<7,77,1,NA
Pterostichus niger,skip,n_detected_sites<7,77,3,NA
Pterostichus nigrita,skip,n_detected_sites<7,77,1,NA
Pterostichus oblongopunctatus,skip,n_detected_sites<7,77,3,NA
Pterostichus pumilio,skip,n_detected_sites<7,77,2,NA
Pterostichus strenuus,ok,NA,77,8,6
Pterostichus vernalis,ok,NA,77,8,6
Semiophonus signaticornis,skip,n_detected_sites<7,77,2,NA
Stenolophus teutonus,ok,NA,77,7,6
Stomis pumicatus,skip,n_detected_sites<7,77,2,NA
Syntomus foveatus,ok,NA,77,7,6
Syntomus obscuroguttatus,ok,NA,77,8,6
Syntomus truncatellus,skip,n_detected_sites<7,77,5,NA
Synuchus vivalis,skip,n_detected_sites<7,77,1,NA
Tachys bistriatus,unstable,large_or_missing_se,77,7,6
Tachyura parvula,skip,n_detected_sites<7,77,1,NA
Trechus obtusus,skip,n_detected_sites<7,77,2,NA
Trechus quadristriatus,ok,NA,77,25,6
Zabrus tenebrioides,skip,n_detected_sites<7,77,1,NA
